industry,model,rmse,mae,dir_acc
动漫,OLS_baseline,0.822381650821907,0.6081117579671185,0.7058823529411765
动漫,OLS_enhanced,1.1166014439499985,1.0329387028810153,0.8235294117647058
动漫,DML_LGBM,1.4948553110645648,0.8994447182777374,0.8235294117647058
文娱,OLS_baseline,0.9944412289302692,0.8161979842040483,0.4117647058823529
文娱,OLS_enhanced,0.4087853315981025,0.2938948523442559,0.7647058823529411
文娱,DML_LGBM,0.8349380046671369,0.6769367262665887,0.6470588235294118
餐饮,OLS_baseline,0.5286431086953545,0.4253193339262436,0.5882352941176471
餐饮,OLS_enhanced,0.3182121554504671,0.2630229323728816,0.7647058823529411
餐饮,DML_LGBM,0.4324240657532543,0.3339849562288983,0.7058823529411765
汽车,OLS_baseline,1.9849109655607025,1.79637235410023,0.6470588235294118
汽车,OLS_enhanced,0.4779304831335578,0.4159564327842662,0.5882352941176471
汽车,DML_LGBM,0.4972897093317694,0.3783430563624949,0.7647058823529411
家电,OLS_baseline,2.242656733633838,2.193585080780769,0.1176470588235294
家电,OLS_enhanced,0.4787230557321091,0.32194939423425,0.8235294117647058
家电,DML_LGBM,0.4725723159320131,0.3780228272655983,0.9411764705882352
旅游,OLS_baseline,0.8457700988988374,0.7195430235964703,0.5882352941176471
旅游,OLS_enhanced,0.8364065024946286,0.8200167669930416,0.2352941176470588
旅游,DML_LGBM,0.5963203087801032,0.4558682018420851,0.7647058823529411
动漫,ARIMA,2.056826104324198,1.233810483810185,0.4705882352941176
动漫,ARIMAX,1.067497610930176,0.947943625527366,0.8235294117647058
文娱,ARIMA,0.814208028508362,0.470421184644986,0.8823529411764706
文娱,ARIMAX,0.5924214223529682,0.4471562795989757,0.5882352941176471
餐饮,ARIMA,0.6342690960641613,0.5622745127314719,0.3529411764705882
餐饮,ARIMAX,0.6562496257322263,0.5647642669363006,0.7647058823529411
汽车,ARIMA,2.1496010637516085,2.097370834691881,0.3529411764705882
汽车,ARIMAX,0.4047094318180167,0.3079460230738119,0.7058823529411765
家电,ARIMA,0.3492143388339218,0.2594986650039154,0.8823529411764706
家电,ARIMAX,0.6632058146174339,0.5722255278789605,0.2352941176470588
旅游,ARIMA,1.0685782093818237,1.0166461893160834,0.1176470588235294
旅游,ARIMAX,0.4556613881771241,0.3793974517565178,0.8235294117647058
