date,Y,ET,date_raw,DR007（无风险利率）,M2(货币供应量）,制造业PMI（制造业价格水平）,沪深300指数（市场收益率水平）,换手率:沪深300指数（市场波动情况）,标准普尔500指数（全球市场价格水平）,premium,mom_1w,OI,D_total_norm,D_star,M1_star,M2_star,Y_star
2025-05-15,-12.58828551414574,0.2071025639888999,20250515.0,0.0142644893173868,-1.6990550608854622,0.2121610449221301,-0.9676465387888742,-1.0014686547603064,-1.2234627881146258,-0.1437,-3.2181,0.7786268415421983,0.2977400274192421,1.5587340016478408,2.2991832648656088,2.407197855980783,1.2848906210157076
2025-05-16,0.0,-0.0028873010085206,20250516.0,1.333678192780645,-1.6990550608854622,0.2121610449221301,-1.0262049377114897,-1.2868032994126843,-1.0964795673807837,-0.164,-1.1851,0.3718651346079504,0.4330757017716731,2.738494300257471,4.047119018457721,3.0159199649324773,3.607453629369099
2025-05-19,0.0,-0.2833532135946259,20250519.0,0.9129616885762398,-1.6990550608854622,0.2121610449221301,-1.0648127390994544,-1.5721379440650622,-1.0804879530929503,-0.0616,-2.1901,0.1692703899756869,0.1614330266345074,0.3705063690015255,0.1675707159720673,-0.22663377577249227,0.07447062413295177
2025-05-20,0.0,-0.265026917092785,20250520.0,0.7283138895087506,-1.6990550608854622,0.2121610449221301,-0.9968449011450978,-1.4770263958476029,-1.1513779827137265,0.2423,-0.2115,0.6657046700876069,0.2691293668890873,1.3093265813798094,1.8436926530749285,1.1048197180552086,1.0203659014463164
2025-05-21,0.0,0.0205283744749997,20250521.0,0.5565213169586195,-1.6990550608854622,0.2121610449221301,-0.9379631538021466,-1.3819148476301435,-1.4450171071368594,0.0204,-1.3847,0.641277965250355,0.2516581786610291,1.1570251697998641,1.7875280183376168,1.585084958579359,1.2506827370585631
2025-05-22,-13.290556101156511,0.0205283744749997,20250522.0,0.4992571261085766,-1.6990550608854622,0.2121610449221301,-0.9460791991525486,-1.429470621738873,-1.4529822790043605,0.0304,1.2623,0.2127331246141243,0.3676853790076981,2.1684679041919943,3.1835687507352746,2.512614953190163,2.042562901043814
2025-05-23,0.0,0.2662406669933108,20250523.0,0.7329885173332461,-1.6990550608854622,0.2121610449221301,-1.0482572999783175,-1.2392475253039543,-1.57304192726876,0.1855,-0.5535,0.2839341172946854,0.2637509245194213,1.2624411403720823,1.3930179254073545,1.588504998309704,1.2889387907559058
2025-05-26,-12.596678645192672,-0.0476287289863874,20250526.0,1.5335185322777385,-1.6990550608854622,0.2121610449221301,-1.1199113099244893,-1.3819148476301435,-1.57304192726876,0.0405,1.438,0.5074823728252777,0.1525151958324569,0.2927670531831441,0.6752494783571167,0.5212774203113077,-0.20864715946453954
2025-05-27,-12.591424433142024,-0.0569636346772509,20250527.0,1.1139706850294566,-1.6990550608854622,0.2121610449221301,-1.1868767677758083,-1.5721379440650622,-1.209339925688016,0.102,-1.0701,0.6555813960428153,0.1097630013555842,-0.0799162172375374,0.24320141086002567,-0.0292891092950947,-0.27556535799483545
2025-05-28,0.0,-0.0651539473084907,20250528.0,0.969057222470162,-1.6990550608854622,0.2121610449221301,-1.197094577858386,-1.714805266391251,-1.3104057025760605,-0.1535,-0.5393,0.7171403338620324,0.07899485950122,-0.34813102752651537,0.3329342800552736,-0.007820244652754918,-0.07595356326164639
