date,Y,ET,date_raw,DR007（无风险利率）,M2(货币供应量）,制造业PMI（制造业价格水平）,沪深300指数（市场收益率水平）,换手率:沪深300指数（市场波动情况）,标准普尔500指数（全球市场价格水平）,premium,mom_1w,OI,D
2025-05-01,,,20250501.0,2.383132139379411,-1.6990550608854622,0.2121610449221301,-1.286662090291101,-0.6685782359991989,-2.1817035990516263,,,1.8227104207811864,
2025-05-02,,-1.8014636387461336,20250502.0,2.383132139379411,-1.6990550608854622,0.2121610449221301,-1.286662090291101,-0.6685782359991989,-1.92887066281124,,,1.851527750572601,
2025-05-03,,,,,,,,,,,,0.9852485102490104,
2025-05-04,,,,,,,,,,,,0.8772110035918002,
2025-05-05,,,20250505.0,2.383132139379411,-1.6990550608854622,0.2121610449221301,-1.286662090291101,-0.6685782359991989,-2.040046080915731,,,0.3101585035602964,
2025-05-06,-1.380883555191121,-1.5988455936436945,20250506.0,2.383132139379411,-1.6990550608854622,0.2121610449221301,-1.286662090291101,-0.6685782359991989,-2.173217627485096,0.0,0.9407,0.8033067019403011,
2025-05-07,-0.7624912552433052,-0.9649444349231904,20250507.0,1.8338633700014364,-1.6990550608854622,0.2121610449221301,-1.2120009400358154,-0.6685782359991989,-2.098559458865464,-0.2079,1.0959,0.5505346955588641,
2025-05-08,-0.4616429797764945,-0.8721575813936128,20250508.0,1.027490070276328,-1.6990550608854622,0.2121610449221301,-1.143224731030622,-1.191691751195225,-1.998504646099064,0.0298,0.8557,0.5280631888236824,
2025-05-09,-0.3828068933608817,-0.4439515734039811,20250509.0,0.2059242301216153,-1.6990550608854622,0.2121610449221301,-1.1650184145611826,-1.2392475253039543,-2.0108506624936924,-0.06,0.045,0.3909400541223025,
2025-05-10,,,,,,,,,,,,0.1118013449826923,
2025-05-11,,,,,,,,,,,,-0.0929095720094379,
2025-05-12,-0.7305107124069694,-0.242059684022462,20250512.0,-0.3106221444849039,-1.6990550608854622,0.2121610449221301,-1.021290041722402,-0.7636897842166582,-1.4463037887462256,0.0892,0.9458,0.4307762976633817,
2025-05-13,-0.8210579068355397,,20250513.0,-0.0897459797775898,-1.6990550608854622,0.2121610449221301,-1.0030208559734903,-0.8588013324341174,-1.316532757858755,-0.1479,0.0,0.4719635605483579,
2025-05-14,-0.2298164598328634,,20250514.0,-0.0722161254357416,-1.6990550608854622,0.2121610449221301,-0.8512087726263434,-0.47835513956428,-1.298059686181432,0.0445,0.1931,0.1211513088194558,
2025-05-15,-0.2486028110183225,-0.0992498783128051,20250515.0,0.0142644893173868,-1.6990550608854622,0.2121610449221301,-0.9676465387888742,-1.0014686547603064,-1.2234627881146258,-0.0298,-0.0893,0.1171554764200805,0.0337257929691553
2025-05-16,-0.2386054764015341,-0.1929530453824808,20250516.0,1.333678192780645,-1.6990550608854622,0.2121610449221301,-1.0262049377114897,-1.2868032994126843,-1.0964795673807837,0.0445,1.0954,0.0697997893387872,0.024271970010504
2025-05-17,,,,,,,,,,,,-0.2120162869188994,0.0174681890720734
2025-05-18,,-0.079742381243992,,,,,,,,,,-0.1710377289003429,0.2519206749076532
2025-05-19,-0.7896586177049604,0.0095210950956039,20250519.0,0.9129616885762398,-1.6990550608854622,0.2121610449221301,-1.0648127390994544,-1.5721379440650622,-1.0804879530929503,0.0296,0.5057,0.4049003608886821,0.5141123394664978
2025-05-20,-0.3301578419709692,0.2459804554281478,20250520.0,0.7283138895087506,-1.6990550608854622,0.2121610449221301,-0.9968449011450978,-1.4770263958476029,-1.1513779827137265,0.0735,0.6657,0.2716814852412065,0.4421261453785618
2025-05-21,-0.698214557522708,0.0207046598525392,20250521.0,0.5565213169586195,-1.6990550608854622,0.2121610449221301,-0.9379631538021466,-1.3819148476301435,-1.4450171071368594,-0.1468,0.9337,0.3564120895266214,0.3181918524881755
2025-05-22,-0.418977272856642,-0.1160133124386652,20250522.0,0.4992571261085766,-1.6990550608854622,0.2121610449221301,-0.9460791991525486,-1.429470621738873,-1.4529822790043605,-0.2076,0.4768,0.2718277974359117,0.3847773213133373
2025-05-23,0.1213601649029281,-0.3278774202112931,20250523.0,0.7329885173332461,-1.6990550608854622,0.2121610449221301,-1.0482572999783175,-1.2392475253039543,-1.57304192726876,-0.06,-1.0836,-0.0471576315325508,0.3984587815653462
2025-05-24,,,,,,,,,,,,-0.3497679757031779,0.2867650763740753
2025-05-25,,,,,,,,,,,,-0.3784017641871471,0.2063807169835031
2025-05-26,-0.011658527318118,-0.1309950917851687,20250526.0,1.5335185322777385,-1.6990550608854622,0.2121610449221301,-1.1199113099244893,-1.3819148476301435,-1.57304192726876,-0.0148,-0.2516,0.0835961964156635,0.1485292451967327
2025-05-27,0.3789136203692113,,20250527.0,1.1139706850294566,-1.6990550608854622,0.2121610449221301,-1.1868767677758083,-1.5721379440650622,-1.209339925688016,-0.0148,-0.6466,0.0584010066790868,0.1068943697897637
2025-05-28,0.0117534505107187,-0.1001354334557743,20250528.0,0.969057222470162,-1.6990550608854622,0.2121610449221301,-1.197094577858386,-1.714805266391251,-1.3104057025760605,0.1625,-0.6021,0.0983468460423881,0.2166954364658311
2025-05-29,1.5250386561955784,-0.2077047480526667,20250529.0,1.282257286711218,-1.6990550608854622,0.2121610449221301,-1.1244705226512095,-1.429470621738873,-1.2380451796874392,-0.0884,0.6228,0.2882516534094934,0.2224928106643402
2025-05-30,-0.0233258684416185,-0.2570503877398639,20250530.0,1.650384227890073,-1.6990550608854622,0.2121610449221301,-1.1841929758870304,-1.3819148476301435,-1.2395156729552874,0.2678,0.8703,0.0855082572924083,0.2207116262225562
2025-05-31,,,20250531.0,1.650384227890073,-1.6990550608854622,0.2121610449221301,-1.1841929758870304,-1.3819148476301435,-1.2395156729552874,,,-0.2274770143984373,0.1588429952571591
2025-06-01,,,,,,,,,,,,-0.3110251768845872,0.1137074635814573
2025-06-02,,,20250602.0,1.650384227890073,-0.3505223353339475,0.9616130477639744,-1.1841929758870304,-1.3819148476301435,-1.165225127652617,,,-0.1957920786417591,0.080096313907173
2025-06-03,-0.1622827771383987,-0.2355629850134847,20250603.0,0.3075973853043482,-0.3505223353339475,0.9616130477639744,-1.1461025319716007,-1.0965802029777656,-1.059747870961031,-0.0444,0.0296,0.4081586297936088,0.0570814947837707
2025-06-04,-0.2597162492614741,-0.1112043907072541,20250604.0,0.3695362039788839,-0.3505223353339475,0.9616130477639744,-1.0920063412496046,-1.2868032994126843,-1.0583999187988369,-0.0439,0.9455,0.234708105898181,0.0442746064408589
2025-06-05,-0.2137722110668318,-0.2933203316777113,20250605.0,0.32278992573395,-0.3505223353339475,0.9616130477639744,-1.0634870105760823,-1.191691751195225,-1.1549316747776883,0.0588,0.2947,0.1181034316618565,0.0331252522266432
2025-06-06,-0.0463381874282005,-0.2073495402675241,20250606.0,0.1054197318950082,-0.3505223353339475,0.9616130477639744,-1.075062884024065,-1.3819148476301435,-0.9678726769970282,0.1029,1.205,-0.0068358338072825,0.126159901646623
2025-06-07,,,,,,,,,,,,-0.2491376803398442,0.090795473722309
2025-06-08,,,,,,,,,,,,-0.184366534236767,0.1089861596062286
2025-06-09,-0.1017805415387505,-0.070588271117073,20250609.0,-0.1248056884612916,-0.3505223353339475,0.9616130477639744,-1.038621517052343,-1.0014686547603064,-0.95096200441679,0.1608,1.7406,0.0208384469235537,0.1304873467346133
2025-06-10,-0.4145264547113655,0.1708932947087723,20250610.0,-0.1984310766970621,-0.3505223353339475,0.9616130477639744,-1.1025798345945497,-0.8588013324341174,-0.8500800391872249,-0.117,1.109,-0.0967257083771399,0.2110212038152451
2025-06-11,-0.1450094099703408,0.0871087553492675,20250611.0,0.0504928549572118,-0.3505223353339475,0.9616130477639744,-1.0082914352249466,-0.9063571065428472,-0.9008426922043504,0.0582,0.6293,-0.2161831841103535,0.1508101568178311
2025-06-12,-0.0235965565717581,0.130810421916197,20250612.0,0.1790451201307787,-0.3505223353339475,0.9616130477639744,-1.016148801839081,-1.049024428869036,-0.8303202859005359,0.0586,0.2939,0.2634817448244282,0.1079374681841136
2025-06-13,0.6125670436803172,,20250613.0,-0.2486833258103656,-0.3505223353339475,0.9616130477639744,-1.1067510292168674,-0.47835513956428,-1.0395285885281382,-0.0299,-1.7786,0.8603746727655867,0.1671993932171287
2025-06-14,,,,,,,,,,,,-0.4805610613103093,0.1203310078328535
2025-06-15,,,,,,,,,,,,-0.4678341053696505,0.1067001962263016
2025-06-16,0.9167074292526268,,20250616.0,0.0329630006153609,-0.3505223353339475,0.9616130477639744,-1.075644911180667,-1.0014686547603064,-0.8675421467429063,0.2251,-2.5442,0.0488975742216345,0.0767906025304809
2025-06-17,0.5783377006408541,,20250617.0,-0.0067713358928336,-0.3505223353339475,0.9616130477639744,-1.0867034271561142,-1.2392475253039543,-1.0219133045903916,0.0749,-2.3837,0.2945479978799223,0.1201271431843362
2025-06-18,0.150479953505427,0.0524449442773845,20250618.0,0.0399749423521002,-0.3505223353339475,0.9616130477639744,-1.071861734662752,-1.1441359770864952,-1.027580830726885,0.0151,-3.5922,0.493723067486054,0.1479315560248765
2025-06-19,-0.0452578409649222,0.0989943689615432,20250619.0,0.2433212527175634,-0.3505223353339475,0.9616130477639744,-1.1749452110654572,-1.0965802029777656,-1.027580830726885,-0.0607,-3.3988,0.2183410845947613,0.1112185781288734
2025-06-20,0.0668775655203212,0.1020135557827639,20250620.0,-0.3410072253441102,-0.3505223353339475,0.9616130477639744,-1.1634663421435758,-1.2868032994126843,-1.0674985958936387,0.0305,-1.7061,-0.183034106503057,0.1098152262017723
2025-06-21,,,,,,,,,,,,-0.2622721651100362,0.0871883160633991
2025-06-22,,0.027974546478638,,,,,,,,,,-0.3254353941110328,0.0695261245009874
2025-06-23,0.1385530400471684,-0.15289739036815,20250623.0,-0.1844071932235808,-0.3505223353339475,0.9616130477639744,-1.1270573100138863,-1.049024428869036,-0.8918665562152022,0.0152,-1.4404,0.6296274563206948,0.0494695421742943
2025-06-24,-0.2907928199219837,-0.0111290973111539,20250624.0,1.6959618491788837,-0.3505223353339475,0.9616130477639744,-0.9778966837134832,-0.6210224618904692,-0.6865795689685236,0.1499,-0.0749,0.8520864245083475,0.1126559562947724
2025-06-25,-0.3597316392328988,-0.1865996851989824,20250625.0,1.9904634021219656,-0.3505223353339475,0.9616130477639744,-0.7966922289579106,-0.2881320431293618,-0.6866408395213518,0.0445,1.6292,0.229801455860173,0.0810768777235917
2025-06-26,-0.5887497562973221,-0.1557626839493922,20250626.0,1.8899589038953584,-0.3505223353339475,0.9616130477639744,-0.8421226820149382,-0.6210224618904692,-0.5369568789651243,-0.1179,2.9421,0.2225839933637529,0.0583498673093352
2025-06-27,-0.2027877264190886,-0.1280302050196746,20250627.0,2.0278604247179137,-0.3505223353339475,0.9616130477639744,-0.9205670087881388,-0.1930204949119024,-0.4387708180599478,0.0148,2.908,-0.0361792403917055,0.0460099818184785
2025-06-28,,-0.1030724825558319,,,,,,,,,,-0.3304658316341235,0.0356605289220631
2025-06-29,,,,,,,,,,,,-0.1380282852686973,0.0274247959977494
