var,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skew,kurt,industry
Y,115.0,0.42994177629364716,0.8921515847820252,-1.0625689980999569,-1.0625689980999569,-1.0625689980999569,-0.09129708125491205,0.1966455086240821,1.0666568715048363,2.0481608263971616,2.0481608263971616,2.0481608263971616,0.16799582095165855,-0.7860819128543293,餐饮
D_star,115.0,3.475480772739621e-17,1.0043763885240247,-0.7414093951845593,-0.7414093951845593,-0.7414093951845593,-0.7169920018603932,-0.4104038947122482,0.2910335451170943,2.0595220200306623,3.059046877221325,4.567730052630442,1.976734733778882,4.285272576975516,餐饮
OI,115.0,0.1167204335833873,0.5038917171901575,-0.6590608975482827,-0.6234282326075743,-0.5029419911862786,-0.23904144352449253,0.0343284377869911,0.3940183967514296,1.1940352468208149,1.5478571776369396,1.6012057031746645,1.0007325397385534,0.7622145108809169,餐饮
ET,115.0,0.026318818040676966,0.2789188044249304,-0.3934517482761254,-0.38392984702193506,-0.3470902649723729,-0.1968061704465251,-0.060822479612436,0.24575310578331644,0.4574872418802778,0.7102557187596673,0.7944991927424211,0.574878153441621,-0.6184242777581233,餐饮
premium,115.0,0.08266347826086957,0.12201425882337126,-0.2827,-0.238998,-0.12134,0.0235,0.0822,0.15425,0.25314,0.372156,0.4146,-0.33290553191458666,1.0244536532414736,餐饮
mom_1w,115.0,-0.16376000000000002,1.8115303921115595,-4.2129,-3.940102,-3.27218,-1.21375,-0.1611,0.6694,3.0914099999999998,4.910051999999999,5.9541,0.3917712180469217,1.0096617148932987,餐饮
M1_star,115.0,0.30914295170279305,1.3644115682762537,-1.0811678184856766,-1.008988410179919,-0.8462361695554149,-0.4652766995275973,-0.071196577023403,0.5726501837399938,2.3822090367310462,4.844459791599202,9.055957105148762,3.3067114664767865,15.804424597818139,餐饮
M2_star,115.0,0.16602276772013366,1.1841813718665244,-1.5781977936171567,-1.510129186973372,-1.2444974074406479,-0.6179070572700529,-0.1442248486806416,0.8263847625374725,2.2734813401307368,3.160814035747318,5.882789700069164,1.5153460814216588,4.056549825992396,餐饮
Y_star,115.0,0.29069747391743195,1.153416841534255,-0.952636447190965,-0.869664497937329,-0.629214539368104,-0.28362230535132626,0.0209936496970062,0.44569787794533877,2.3466267724167387,4.021345724725942,7.822293094964611,3.4814783833700975,17.008432264845595,餐饮
Y,115.0,0.13418289082571225,0.8312634397489757,-1.3397141908975096,-1.3397141908975096,-1.3397141908975096,-0.6010862432026061,0.2317238492115222,0.819399392561713,1.44115189427367,1.44115189427367,1.44115189427367,-0.24900379948187107,-1.0025107053969196,动漫
D_star,115.0,1.9308226515220113e-16,1.0043763885240242,-1.1208283267321193,-1.117046756258367,-1.0506871318431463,-0.6835350679423093,-0.2847409042756467,0.406967831537447,2.1016474263544724,3.4385815755583207,3.923913658931949,1.6148121511955895,3.0473041209285814,动漫
OI,115.0,-0.0815283420487866,0.6508477263655044,-1.263018175967835,-1.2521448349635598,-1.11071734501477,-0.6331701514927242,-0.0691079746006016,0.3945545901438229,0.9405695991980136,1.235662952069605,1.3738138452432402,0.05714349651921392,-0.7796589560616605,动漫
ET,115.0,-0.016067735262360706,0.1578168899541639,-0.413227920862434,-0.39987105917553706,-0.2966606944872967,-0.11605916649711374,0.0035192836181718,0.10480444064601885,0.21158705785975027,0.285187540925093,0.3303291248835198,-0.40538332068680316,-0.21085618954635477,动漫
premium,115.0,0.04110434782608695,0.09712312983708689,-0.1467,-0.12366,-0.09992,-0.0385,0.0316,0.10165,0.19152,0.295488,0.3284,0.4575200334258261,-0.17379071543475755,动漫
mom_1w,115.0,1.286811304347826,3.676951932796941,-9.1062,-8.338353999999999,-5.37003,-0.89915,1.3646,3.754,6.65688,8.19138,10.4705,-0.46809815057903187,0.3809711903524655,动漫
