author,comments,reply_comments,reply_authors,update
基金资讯,天弘中证食品饮料交易型开放式指数证券投资基金2024年年度报告,,,03-30
基金资讯,天弘基金管理有限公司关于旗下基金关联交易事项的公告,,,03-28
卡拉米养基场,放平心态，每周搞点,,,03-25
卡拉米养基场,又跌回来了，跌吧跌吧，每周搞一点，投个三五年看成效,,,03-24
美女的美,买的都亏，股市没钱了，就搞股民的钱了,,,03-24
小静妞,发现自己买在了最高点，晕死,,,03-19
阿杰全球,难道真的就此陨落了吗,,,03-19
基民aA8R5V,涨成这样，真不怕315食品出什么大瓜,,,03-14
卡拉米养基场,唉定投晚了，以后的筹码可没那么便宜了,,,03-14
基金资讯,天弘基金管理有限公司关于旗下基金关联交易事项的公告,,,03-13
阿杰全球,难受啊,,,03-12
天弘基金,【基金经理：于洋】云端&甄选食品饮料板块怎么看？,,,03-10
基金资讯,天弘中证食品饮料交易型开放式指数证券投资基金招募说明书(更新),,,03-07
卡拉米养基场,跟踪误差有点大啊,,,03-06
用悔而明,咨询一下买etf是t加一还是t加0，谢谢,,,02-28
唐煌20,这基最近走势偏弱……行情起来还得看科技，$中加科技创新混合发起式A$近6个月就涨,,,02-26
睡吧睡吧明天说,方正信泓押重机器人方向，最近业绩堪称“炸天”，一个月涨了近22%，大幅甩开指数，,,,02-26
阿杰全球,天天在这里面躲牛市,,,02-26
LeonG理财,热点聚焦！机器人板块再次掀起涨停潮，受益于人形机器人技术的创新突破和市场关注的持,,,02-06
天风涌惊云,这么惨,,,02-05
基金资讯,天弘中证食品饮料交易型开放式指数证券投资基金2024年第4季度报告,,,01-21
牛B烘烘的小散,啥情况？成份股都是红的这货下跌0.70%！,,,01-03
基金资讯,天弘基金管理有限公司关于旗下基金关联交易事项的公告,,,12-24
Yonguo,为什么不能T+0交易呢,,,12-16
加油呀66,食品饮料走势一般，还是科技板块爆发性强，中加科技创新A近3个月涨超51%了，主投,,,12-04
细心的西门亦凡1,食品饮料行情一般，还是科技板块韧性更好、弹性更大，$中加科技创新混合发起式A$近,,,11-25
随缘理财,大消费今天涨势很好，感觉现在也有机会，不过还是大科技弹性好，涨势更猛，$中加科技,,,12-10
投资纪律百分之十,$饮食ETF(SZ159736)$,,,12-10
又长起来的韭菜,自从买了你，我连馒头都舍不得吃了，亏你还是食品饮料,,,11-13
沉之辞,不太理解为什么食品饮料的etf会买强邦新材？,,,12-02
又长起来的韭菜,砸盘啊，继续砸盘啊,,,11-21
有领导力的曾姿4,这样不温不火很难聚人心，聚人气，稳中求进才行,,,11-14
有领导力的曾姿4,总得有突破口才行！稳住阵脚，稳步前行！加油加油！,,,11-13
有领导力的曾姿4,民以食为天，总体要把握好大势稳中求进才行加油加油兄弟们,,,11-12
又长起来的韭菜,继续跌啊，你倒是跌啊，孙子装毛线,,,11-08
基金资讯,天弘基金管理有限公司关于旗下基金关联交易事项的公告,,,10-25
又长起来的韭菜,菜鸡,,,11-05
基民0662621QE7,这几个持仓是什么意思？和食品有什么关系？,,,10-30
基金资讯,天弘基金管理有限公司关于旗下基金关联交易事项的公告,,,10-30
又长起来的韭菜,我才进来就把我埋了,,,10-30
