author,comments,reply_comments,reply_authors,update
湖北宋宇飞,444,,,09-19
股友8e5785U368,又是倒数第一,,,09-18
才望兴隆de令狐冲,无耻至极,,,09-18
股友378N9F5107,整个汽车板块，除了江淮,,,09-17
股友8e5785U368,老配方,,,09-17
股友99268u6m71,论下跌主力和资金流出还得看央企长安,,,09-16
八方善贾de黄药师,国家层面的重大利好，怎么跌啦,,,09-16
开始赚票票啰,终于轮到我啦，坐上板块龙头老大的头把交椅,,,09-16
股友1webxjitko7,要成角了,,,09-16
STt9,国外新能源汽车大涨，国内不涨,,,09-16
勇敢坚毅的悦儿6,每次发布会都大跌昨天尾盘卖了，不相信你,,,09-16
华南宝安大道,赛力斯的爸爸叫江淮,,,09-15
麻木的散户Jack,就这种越差的公司账的越好，越亏损的公司涨的越多的市场氛围，还想长牛，做梦都比这个,,,09-15
股友L936032M71,亏损能飞上天？业绩好的股票跌跌不休？,,,09-15
惬意的温琦,159806是绝世好基，冲鸭弟兄,,,09-15
麻木的散户Jack,没有众泰，这个板块指数要跌成狗。一个汽车板块指数，居然靠一个今年只卖了14辆车的,,,09-14
微笑的迪妮莎DJ,这板块靠两个亏损股拉指数,,,09-12
股友uPjpiz,怎么今天指数还涨了？,,,09-12
江湖股者,这板块指数是假的！,,,09-12
股友19Y723297a,涨靠前全部是亏损股，为啥,,,09-12
追涨的小牛,扭曲颠覆逻辑的板块，绩优股都在垫底，破产亏损天天霸占鳌头，撤退,,,09-12
股友09888X19p7,金杯电工2025Q1净利润持平，非经常性收益对冲了信用减值损失的影响。其他收益与,,,09-11
好奇的文昭1,垃圾板块，都不如房地产,,,09-09
股市断魂,终于混成了板块倒数第一……,,,09-09
万金来c,汽车股的龙头居然是众泰,,,09-09
葛大壮,159667绝世好基，冲鸭弟兄,,,09-09
湖北宋宇飞,744,,,09-09
淋雨的燐,今天整个板块成交256亿byd59亿赛力斯63这俩成交就占一半了,,,09-08
自信且坚韧001,有趣这板块，只有没车的泰哥才是核心，超预期吗,,,09-08
n542613572056874,比亚迪完胜,,,09-06
永远之林,汽车应该安全为第一位，再好看的车，也只是个油漆马桶，珍爱生命，不当小白鼠。国产车,,,09-06
丙丁乙乙,一心造车，以安全为第一！看好它。,,,09-03
股友235231gQ03,日本汽车大涨,,,09-04
虾滑炒蛋,byd就扶不起的阿斗,,,09-04
小悟空闪电豹,现在长安汽车均为小盘股了。不跟指数跟垃圾退市股一起涨，还涨的挺多的，零点几,,,09-04
股友7899e6028W,汽车类上市公司，国内成熟国外还有一定空间，头部公司也过了增长期，无非此起彼落，不,,,09-03
股友9605MP1215,603017中衡设计：参股多家芯片独角兽、城市高质量设计总龙头+商业卫星发射场设,,,09-03
梦境的游人,高开那么多就是为了套人吗？,,,09-03
n1429694160449071580,写的什么文章，恶意抹黑比亚迪！什么停滞不前，国外都把特斯拉扯下来了！后面真成全球,,,09-02
周六不下班,岚图,,,09-02
股友2L029R5099,吉利迟早反超登顶,,,09-02
股友Y5877k1075,随着电动智能汽车时代的来临，行业在不断的成熟，就像2007年智能手机的大爆发一样,,,09-02
托天王,无知的媒体，一跌，各种坏消息都不来，一张啥都优秀,,,09-02
股友8l6718l578,新m7爆款,,,09-02
DNMMDF,下午万手哥上班了！！！,,,09-02
股友w206x36177,比亚迪的销量都被吉利抢走了,,,09-02
翡翠满腹de律香川,三电匹配好,,,09-02
西蓝花931,比亚迪确实难，高端市场销量低迷，中低端市场被小鹏和零跑抢夺，更不用说还有其他传统,,,09-02
霸道2,按自己的规划走，要落实技术与安全并行，才是企业生存发展之道,,,09-02
我问心之道,长安,,,09-02
今媒评,汽车质量是长跑竞赛项目，质量稳定并不断提高，那车就不愁卖。,,,09-02
开心的吕心宇1,本来想买长安汽车的，现在看来绝对不能买，希望国人擦亮眼睛，国产中的垃圾品牌。,,,08-29
在路上的苏小语,猛砸长安，比亚迪，真是好样的,,,09-01
怀念权证,看看我选股水平怎么样,,,09-01
白酒有毒,房地产融资贷款彻底转移到汽车上面来了,,,08-29
祝你好运啦,新能源看中国，中国看江淮,,,08-29
娴雅文静的石港,整车今年算是废了,,,08-28
陆肘Z,垃圾众泰涨了9个点，直接把整车带起来了，其实其他的都没涨,,,08-28
江湖股者,全市场唯一被抛弃的板块，实在无语,,,08-25
股友L936032M71,明天也应该轮到汽车板块起飞了吧。,,,08-25
江湖股者,汽车板块没涨不说今天流出43亿，排名前列！,,,08-27
股友16F511L985,查的,,,08-27
追涨的小牛,舍‘车’保帅,,,08-27
江湖股者,汽车整车轮动就是出来搞笑的早盘5分钟完事！,,,08-27
梦境的游人,看来整车是到头儿了，又该回调了,,,08-27
欢快的魏夏圆,$汽车整车(BK1029)$,,,08-27
股林林萌主,汽车板块错过牛市,,,08-25
江湖股者,买车是倒了血霉，涨没涨过，跌还第一名,,,08-25
最佳新人,板块倒数第一？？,,,08-25
江湖股者,汽车整车没怎么涨还是倒数前三，今天都绿？,,,08-25
