comments,time
长春一东：获得政府补助,11-18
长春一东：获得政府补助172.94万元,11-18
抄底冲冲冲,11-18
长春一东获政府补助173万元 影响归母净利润74.5%,11-18
[傲],11-18
今天洗盘洗的干干净净了，拉升比较方便。,11-18
够狠,11-15
长春一东:投资者关系活动记录表1112,11-12
转发,11-17
转发,11-16
转发,11-16
[图片],11-15
为了增发，压低股价。监守自盗，情景恶劣。取消非增,11-14
明天熄火,11-14
买房首付！,11-14
转发,11-14
转发,11-13
转发,11-13
好票,11-13
下周看涨,11-13
做不得了！创业板10月下旬上市的新股大都在走新低,11-12
转发,11-12
写的好好,11-12
周五筹码分布85以下占五成,11-12
如果和尚黑庄继续打压，不管是长线，中线，断线，或者每日高抛低吸，都是非常安全标的,11-07
转发,11-11
长春一东：选举杨明杰为职工董事,11-10
长春一东:长春一东关于选举职工董事的公告,11-10
,11-07
垃基,11-06
垃圾果农不改名字了？,11-06
今天没套住算你走运明天套住直接吊在山顶上暴晒,11-06
转发,11-06
长春一东:长春一东离合器股份有限公司投资者关系活动记录表1104,11-04
吃面,11-04
踩雷了,11-04
转发,09-27
转发,11-04
转发,11-03
转发,10-31
好基,10-31
转发,10-30
深刻,10-30
明日微涨,10-30
[赞],10-30
我今天满仓它了，大家说会不会出事情？,10-30
长春一东：2025年前三季度盈利817.13万元 同比扭亏,10-29
,10-29
长春一东第三季度扭亏为盈，归母净利润达505万元,10-29
垃圾,10-29
利好出尽,10-29
加油呀！,10-29
长春一东股东户数增加12.06%，户均持股15.12万元,10-29
[图片],11-30
哎，,11-30
没希望了,11-30
机会来啦,11-29
,11-30
惨呀,11-30
转发,11-30
明天,11-30
20股本月录得翻倍行情 电力设备股数量最多 这些标的获融资客加仓,11-30
摩恩电气:股票交易严重异常波动暨风险提示公告,11-13
,11-28
[图片],11-30
牛逼,11-30
养精蓄锐,11-27
转发,11-29
,11-29
27.5以下有希望，高了就只能来年咯,11-29
逃出来的去申购券商类中体基金！,11-29
转发,11-29
转发,11-29
心情不爽,11-29
转发,11-29
转发,11-29
支持,11-29
大盘是一个掏腰包的贼耍圈圈卖套套眼睛紧盯你小钱包,11-29
这种公司应该自己造车,11-29
总龙头,11-29
转发,11-29
获利盘为零,11-29
600853 低价 转2股 除权日3号,11-29
转发,11-29
[图片],11-29
转发,11-29
转发,11-28
错位,11-29
分红,11-29
转发,11-29
伤心,11-28
摩恩电气:关于签订《商标使用许可协议》暨关联交易的公告,11-27
转发,11-28
喷子的狗嘴,11-28
中镖了！,11-28
么时停盘,11-28
转发,11-28
这票长年公司市值爆跌不见了几千个亿每股净资产值业爆贬60%，王晓初怎么看？,11-27
转发,11-28
仁东再现,11-28
转发,11-28
无量反弹，回避,11-28
垃圾果农不改名字了？,11-28
上周资金净流入指标向好个股数据跟踪（2020.11.30）,11-28
47再进,11-28
看看吧。,11-28
,11-28
明天起飞,11-28
哟呵,11-28
重大事项未公告？,11-28
涨到7块,11-28
加仓,11-28
转发,11-28
转发,11-28
退市白酒第一股,11-28
转发,11-28
2.5元,11-28
能见新低不,11-28
伟大,11-28
底部放量了，还涨停，不错哦。有一波了，明天接入。,11-28
够狠,11-28
转发,11-28
转发,11-28
垃圾,11-28
转发,11-28
冲鸭,11-28
转发,11-28
收盘竞价居然成交1600万股，啥意思？,11-29
沃华医药:2025年第四次临时股东会决议公告,11-28
沃华医药:关于沃华医药2025年第四次临时股东会的法律意见书,11-28
转发,11-28
[图片],11-28
转发,11-27
垃圾股,11-27
转发,11-26
沃华医药：将于2025年11月28日召开2025年第四次临时股东大会,11-27
,11-26
[鼓掌],11-26
转发,11-26
[赞],11-25
沃华医药联手宜从容推动参枝苓口服液应用于阿尔茨海默病防治,11-19
农夫阳泉,11-24
转发,11-21
希望天天基金增加积分兑换品种呀？,11-21
[图片],11-20
转发,11-20
失血,11-19
转发,11-19
明天熄火,11-19
转发,11-18
沃华医药携手宜从容共推参枝苓口服液 打造阿尔茨海默病防治新方案,11-18
沃华医药与宜从容达成战略合作，推动参枝苓口服液在阿尔茨海默病防治领域应用,11-18
内幕交易,11-17
研究所0.19551134369327194,11-17
,11-17
转发,11-16
一直拉升,11-16
转发,11-16
11月4日晚间重要公告集锦,11-04
建议：得润电子汽车配件全，自己做新能源汽车吧,11-15
买就是的,11-14
外资,11-14
转发,11-13
[大笑],11-13
涨停,11-13
嘉兴来了,11-13
顶了,11-12
沃华医药:山东沃华医药科技股份有限公司关于召开2025年第四次临时股东会的通知,11-12
沃华医药:关于拟变更会计师事务所的公告,11-12
沃华医药:第八届董事会第六次(临时)会议决议公告,11-12
转发,11-12
“中国巴菲特”15年离婚纠纷落幕，陆娟：将积极行使股东权利,11-11
A股中成药龙头“天价”离婚案落幕：沃华医药5.4亿元分手费换“无主”，179％净利暴增难掩研发硬伤,11-11
国企,11-11
中药、CXO等细分领域表现亮眼 医药生物企业三季度成绩单看点十足,10-24
,11-11
转发,11-11
就问一句：如果你是操盘手一帮人在股吧里喊200.300，你怎么操作？,11-07
,11-10
收藏,11-10
“中国巴菲特”离婚 “分手费”5.36亿元！夫妻两人都是中国第一批股民,11-07
转发,11-09
转发,11-08
饱满！,11-07
百济神州预计2025年营收362亿元至381亿元；科兴制药递交港股上市申请｜医药早参,11-07
马斯克赢了！1万亿美元薪酬计划获批；纳指跌超400点 微软七连跌；“分手费”5.36亿元！A股富豪夫妻离婚丨每经早参,11-07
离婚案致沃华医药实控人变更 公司销售费用仍然高企,11-06
转发,11-06
,11-06
,11-06
沃华医药董事长15年离婚纠纷落幕，前妻分走一半股权，曾被称为“中国巴菲特”,11-05
转发,11-06
明天跌停,11-06
十个涨停,11-06
,11-06
[鼓掌],11-06
转发,11-06
真差,11-06
坐等4元,11-05
转发,11-30
转发,11-30
12月至明年1月底，猪价不上35是不可能的，算算天邦12月至明年1月是全年出栏顶峰，12月冲刺利润4至5亿。,11-30
主力快看,11-30
抛了,11-30
转发,11-28
好票,11-30
转发,11-30
还能好吗,11-30
转发,11-30
,11-23
39见,11-29
无语,11-29
[图片],11-21
转发,11-28
周一很关键   不收11.11尾盘就卖,11-28
明天涨停,11-28
转发,11-28
诱多,11-28
47再进,11-28
还能好吗,11-28
转发,11-28
穷猪,11-28
割广昌？,11-28
这垃圾有没有三板的子公司？,11-28
,11-28
[傲],11-28
等调整,11-28
转发,11-28
绿帽王,11-28
其实月线是有上涨趋势的,11-28
涨停,11-28
转发,11-28
绿啊,11-28
27.5以下有希望，高了就只能来年咯,11-28
转发,11-28
转发,11-28
转发,11-28
,11-28
害群之马,11-28
转发,11-28
,11-28
,11-28
怎么办,11-28
耍嘛,11-28
转发,11-28
转发,11-28
转发,11-28
[图片],11-28
,11-28
转发,11-28
[图片],11-28
暴雷了，周一跌停，，，，,11-28
利好,11-28
明日开始连续涨停到八元！,11-28
40要不要破一下？,11-28
转发,11-28
我跟,11-28
毛线,11-28
转发,11-28
放量大跌，看来还要跌！,11-27
转发,11-28
,11-28
转发,11-28
涨停,11-28
转发,11-28
转发,11-28
,11-28
恶股,11-28
江苏国信：融资净买入135.84万元，融资余额3.35亿元（11-27）,11-28
广东18跟14结婚令人震惊 我发现家里太穷父母引导不到位,11-28
,11-28
转发,11-28
看长短,11-27
转发,11-27
很牛,11-27
国企,11-27
推荐,11-27
转发,11-30
是的,11-30
一成仓位,11-30
恶魔,11-30
,11-28
退市吧,11-29
大连港是真垃圾股,11-28
这？,11-29
说的正确,11-29
明天给你个意外,11-29
Ok,11-29
学习,11-29
转发,11-28
六个雷,11-28
转发,11-28
明天跌停,11-28
害群之马,11-28
转发,11-28
转发,11-28
转发,11-28
[哭],11-28
,11-28
,11-28
你是谁啊，是徐翔吗，泽公司吗，可笑？,11-28
相信宁总,11-28
,11-27
,11-28
惨呀,11-28
,11-28
转发,11-28
,11-27
学习,11-28
每股净资产12.4元，三季收益1.5元3.44亿盘，23年股本末扩张,11-28
转发,11-28
套人玩意垃圾,11-28
转发,11-28
[图片],11-27
明天大跌,11-28
该跌停时就跌停啊，风风火火跌停板啊,11-28
100倍,11-28
我等,11-28
蔚来在中国上市，会给中国机构做成退市，比亚迪在美国上市可能股价早上800美元,11-28
圣阳股份：融资净偿还24.32万元，融资余额2.98亿元（11-27）,11-28
[鼓掌],11-27
一路长红,11-27
要起飞了  恒驰下厂,11-27
转发,11-27
[图片],11-21
[微笑],11-27
转发,11-27
利空出尽,11-27
,11-27
国企,11-27
打卡,11-27
垃圾,11-27
按照缠论，月线看，第一阻力93，第二阻力135元,11-27
毛线,11-27
转发,11-27
继续跌停,11-27
调整到70元-80元附近 再参与,11-27
圣阳股份：聘任常务副总经理,11-26
27.82  加油!,11-27
转发,11-27
转发,11-27
完了,11-27
卖废了,11-27
,11-27
圣阳股份：融资净买入263.57万元，融资余额2.98亿元（11-26）,11-27
圣阳股份：公司自主研发的固态电池已顺利完成安全验证及循环稳定性测试，性能指标良好,11-26
跌停,11-26
转发,11-26
天箭牛，看好明天,11-26
金科股份已经在每个县城都有项目了！,11-26
转发,11-26
完了,11-26
不值,11-28
错位,11-29
转发,11-28
转发,11-28
我也说说,11-28
都是注册几天的号在唱？呵呵请继续,11-28
,11-28
,11-28
周一中阴,11-28
没人气呀,11-28
日啊,11-28
加仑,11-28
好搓,11-28
转发,11-27
众捷汽车：融资净买入24.05万元，融资余额6152.01万元（11-27）,11-28
众捷汽车:众捷汽车关于参加2025苏州上市公司投资者集体接待日活动的公告,11-27
周一跌停,11-27
优秀,11-27
越跌越买！,11-27
众捷汽车：截至11月20日股东户数10428户,11-27
要涨,11-27
还不能买,11-27
收盘,11-27
哈哈哈，黑粉被本神打脸了没。继续叫啊,11-27
垃圾,11-27
还是会跌,11-27
众捷汽车最新筹码趋于集中,11-26
电力板块有很多低价低估值品种有待挖掘！,11-27
转发,11-27
航宇科技第二轮问询今天更新了，上会快了，大家要有信心。,11-27
跌多点再买,11-26
我账户里有10个370398，我是不是要交钱呢，是自动扣款吗，不用作吧,11-27
,11-27
无语,11-27
金科股份已经在每个县城都有项目了！,11-27
明天股票要冲高,11-27
众捷汽车：连续5日融资净偿还累计1295.35万元（11-26）,11-27
转发,11-27
[微笑],11-27
[傲],11-26
周一涨停,11-26
明天涨停,11-26
哎，,11-26
,11-26
,11-26
[图片],11-26
我去,11-26
重大事项未公告？,11-26
转发,11-26
狂野,11-26
支持,11-26
牛呀,11-26
扶上位,11-26
好基,11-26
转发,11-26
越跌越买！,11-21
饱满！,11-26
来了,11-26
,11-26
转发,11-26
冷清清,11-26
众捷汽车：连续4日融资净偿还累计1246.32万元（11-25）,11-26
融券赔光,11-25
,11-25
,11-25
周一跌停开盘吧,11-25
新股持股应该涨吧,11-25
转发,11-25
众捷汽车：连续3日融资净偿还累计1213.06万元（11-24）,11-25
回调有单,11-25
收藏,11-24
牛逼,11-24
按照缠论，月线看，第一阻力93，第二阻力135元,11-24
"新年前突破10牛奔,还是值得期待的!",11-24
积分太多用不出去呀？,11-24
转发,11-30
,11-28
又要成妖,11-30
高开红盘,11-29
客观的说，11元1毛成本的人永远不会解套。,11-29
坏人,11-29
社区概念连香飘飘都涨停了，明天看仲景的,11-29
转发,11-28
转发,11-29
转发,11-29
熊了,11-29
月阳？智能电网异动？输变电迎来超级利好？,11-29
干货,11-29
退市鲁发,11-28
好票,11-28
转发,11-28
修炼,11-28
转发,11-28
割广昌？,11-28
,11-28
一起拉升,11-28
,11-28
转发,11-28
,11-28
一群,11-28
一个多月前的减持公告又置上顶 看来要连续涨停了……,11-28
转发,11-28
干货,11-28
[图片],11-28
牛逼,11-28
转发,11-28
转发,11-28
拉尼娜寒冬来临，农产品食品等或中线走强。,11-28
资金净流入1127,11-28
明天低开后面不知道,11-28
转发,11-28
明天会大涨,11-28
,11-27
优秀,11-28
中京电子：融资净偿还831.2万元，融资余额2.45亿元（11-27）,11-28
转发,11-27
转发,11-27
转发,11-27
,11-27
转发,11-27
转发,11-26
典型庄股,11-27
研究所0.9122341724502494,11-27
,11-27
,11-27
严重高估,11-27
做梦,11-27
来了,11-27
学习,11-27
转发,11-27
垃基,11-27
转发,11-27
昨晚睡梦中,11-27
买就是的,11-27
转发,11-27
开跌,11-27
转发,11-27
真差,11-27
,11-27
重大事项未公告？,11-27
去申购券商类主题老基金！,11-27
踩雷了,11-27
重仓个股不如配置组合，1日涨停不如长期涨！A股6个板块或反弹！,11-27
不出意外，山推年内股价就是月份数,11-27
明天跌停,11-27
中京电子：融资净买入889.76万元，融资余额2.53亿元（11-26）,11-27
恶心,11-26
金融带动大盘跳水后的走势分析，及近期仍值得重点分析的4个机会,11-26
,11-26
转发,11-26
转发,11-26
转发,11-30
垃圾,11-29
转发,11-28
突发，闪存封测,11-28
12月至明年1月底，猪价不上35是不可能的，算算天邦12月至明年1月是全年出栏顶峰，12月冲刺利润4至5亿。,11-28
拉比西埃,11-28
天箭牛，看好明天,11-28
本来股价微幅回调，这些一鼓吹大涨，股价一路下滑,11-28
都是注册几天的号在唱？呵呵请继续,11-28
周一出掉,11-28
诈骗,11-28
转发,11-28
,11-28
大逃亡,11-28
[图片],11-27
金融带动大盘跳水后的走势分析，及近期仍值得重点分析的4个机会,11-27
*ST金泰：董事会秘书变更,11-27
加油啊,11-27
转发,11-27
烂尾,11-27
转发,11-27
跌了,11-27
转发,11-27
拉几,11-27
使劲,11-27
[图片],11-27
转发,11-27
1000元买进，为啥只有467份额？,11-26
转发,11-27
转发,11-26
王中王啊,11-26
转发,11-26
奋斗者,11-26
券商是要在板块中酝酿新领涨龙头吗？,11-26
,11-26
*ST金泰:董事会战略委员会议事规则(2025年11月),11-26
*ST金泰:对外投资管理制度(2025年11月),11-26
*ST金泰:对外信息报送和使用管理制度(2025年11月),11-26
*ST金泰:对外担保制度(2025年11月),11-26
*ST金泰:内幕信息知情人登记制度(2025年11月),11-26
*ST金泰:第八届董事会第六十五次(临时)会议决议公告,11-26
*ST金泰:公司章程(2025年11月),11-26
*ST金泰:信息披露暂缓与豁免事务管理制度(2025年11月),11-26
*ST金泰:董事会审计委员会议事规则(2025年11月),11-26
*ST金泰:董事、高级管理人员所持本公司股份及其变动管理办法(2025年11月),11-26
*ST金泰:印章管理制度(2025年11月),11-26
*ST金泰:独立董事工作制度(2025年11月),11-26
*ST金泰:董事会薪酬与考核委员会议事规则(2025年11月),11-26
*ST金泰:董事、高级管理人员离职管理制度(2025年11月),11-26
*ST金泰:董事会议事规则(2025年11月),11-26
*ST金泰:股东会议事规则(2025年11月),11-26
*ST金泰:投资者关系管理制度(2025年11月),11-26
*ST金泰:内部审计制度(2025年11月),11-26
*ST金泰:信息披露事务管理制度(2025年11月),11-26
*ST金泰:关联交易制度(2025年11月),11-26
*ST金泰:关于变更公司董事会秘书及聘任副总裁、证券事务代表的公告,11-26
*ST金泰:内部控制管理制度(2025年11月),11-26
*ST金泰:总裁工作细则(2025年11月),11-26
*ST金泰:独立董事专门会议工作制度(2025年11月),11-26
*ST金泰:董事会提名委员会议事规则(2025年11月),11-26
*ST金泰:关于变更注册资本并修订《公司章程》、修订及制定部分公司治理制度的公告,11-26
*ST金泰:子公司管理制度(2025年11月),11-26
*ST金泰:会计师事务所选聘制度(2025年11月),11-26
*ST金泰:第八届监事会第三十三次(临时)会议决议公告,11-26
正常来说应该有二个涨停，25元以上应该没问题,11-26
[图片],11-26
垃圾,11-26
转发,11-26
周一见,11-26
11元,11-26
坑晕,11-26
,11-26
转发,11-26
明天涨,11-26
转发,11-26
转发,11-26
转发,11-25
