author,comments,reply_comments,reply_authors,update
股友1TV0d7,666的本,,,11-28
乐观的JM,678的本,,,11-27
陈峰76,这个票今天为什么不可以T+0了,,,11-26
绝对零度大叔,老百姓幸不幸福，就看这个板块，其它都是浮云,,,11-25
尤尤abc,为啥动都不动，太无语了,,,11-25
股友z10R07,我不相信你都不吃不喝,,,11-19
枫林1999,终于要开始往上了,,,11-12
爱自己爱市场,今天给卖了，明天还能跌一点吗,,,11-10
实力运气派,想着会横盘一段时间呢，仓位还没有打够呢，就起飞了。,,,11-10
乐观的JM,一天回本吗,,,11-10
乐观的憨憨,真的一骑绝尘？不让我接回也算不辜负喜欢抄底的股友,,,11-10
落单的皮鞭,长期看好食品饮料,,,11-10
落单的皮鞭,这天天是在吸筹码吗？这么大的红柱子,,,11-07
Henry_韦,真的是依托答辩,,,11-04
价值投资知易行难,民以食为天，吃饱，穿暖，喝好是人最基本的要求,,,10-31
日进民丰地周伯通,对于初始玩家0.534-0.65还是有20%涨幅基础在的，对于二期玩家0.8-0,,,10-31
活泼俏皮的冠宏,762本，看来得等到等猴年马月了。所有的都在上涨，为什么你得到反其道而行之呢？真,,,10-30
股友X72f771595,成本687，今年还有机会回本吗,,,10-30
股友5U19285i81,今天要大涨了？,,,10-30
一鹿有你啊,垃圾,,,10-29
尤尤abc,这基啥时候能涨啊？,,,10-29
股友X72f771595,天天跌啊,,,10-29
挽墨亦无痕,怎么就是上不去,,,10-27
水莲花锦鲤,搞不懂你是啥股，大盘涨没见你涨，大盘跌你就跌，只会跌，不会涨股,,,09-26
基金资讯,招商国证食品饮料行业交易型开放式指数证券投资基金2025年第3季度报告,,,10-26
悟道中2025,真他吗瞎眼了，买白酒食品饮料套死死,,,10-24
星辰大海77,还真是特立独行,,,10-24
股友X72f771595,啥时候能到7以上啊,,,10-14
老豆说,联名王者…,,,10-13
水莲花锦鲤,昨天解套就卖了庆幸,,,09-30
大A三把锁,提前埋伏，春节翻倍,,,10-03
水莲花锦鲤,真服了，大盘冲上去了，你还不冲,,,09-29
水莲花锦鲤,大盘往上涨，你也涨一个点，那么弱干嘛,,,09-29
水莲花锦鲤,除了食品饮料和酒，其他都涨了，你涨一个点，看下,,,09-29
水莲花锦鲤,来个主力冲到0.665,,,09-26
水莲花锦鲤,加油,,,09-26
股友7880032qC8,这玩意儿真是天天跌呀？,,,09-26
水莲花锦鲤,感觉这股票涨一分钱都难,,,09-25
尤尤abc,你是天天跌，大盘涨你跌，大盘跌你更跌,,,09-26
水莲花锦鲤,这样走，对得起你的集合竞价吗,,,09-26
水莲花锦鲤,太渣了,,,09-26
水莲花锦鲤,不补仓了，相信今天冲到0.664,,,09-26
独行小牛队,消费糟了,,,09-25
水莲花锦鲤,在绝望中叹息,,,09-25
水莲花锦鲤,比大盘跌得多，涨得少,,,09-25
水莲花锦鲤,太弱,,,09-25
水莲花锦鲤,涨到667，有那么难吗,,,09-25
水莲花锦鲤,来主力，冲到0.666,,,09-24
老豆说,搞不过…,,,09-23
水莲花锦鲤,都冲起来了，你怎么跟跌不跟冲,,,09-23
水莲花锦鲤,冲上去,,,09-23
Bruce云天4217,真是叠起来没下限啊跌了一个星期了,,,09-23
水莲花锦鲤,主力来一个，尾盘拉起,,,09-22
水莲花锦鲤,冲破均线有那么难吗,,,09-22
股友2661P9675e,这是个什么板块,,,09-22
钢铁吸财皇,入了之后就没过,,,09-22
价值投资知易行难,不对啊，涨百分之0.6,,,09-21
股友B2wTB3,降到半年线我就进来。,,,09-19
大A的初恋,今年消费不是主线啊，兄弟们。,,,09-17
持仓皆盈,今天看涨,,,09-17
基民3177g08w91,$食品饮料ETF(SZ159843)$,,,09-16
股友2519Z188Z0,买不到,,,09-16
老豆说,直营已经是『品质』的代名词了，可见加盟模式被“玩”成啥样…,,,09-11
老豆说,贴身肉搏,,,09-12
Henry_韦,没见过这么的基金,,,09-12
基金资讯,关于招商国证食品饮料行业交易型开放式指数证券投资基金流动性服务商的公告,,,09-10
价值投资知易行难,食品饮料行业涨2.9%，怎么etf跌,,,09-04
价值投资知易行难,饮料是最好的避风港,,,09-04
Henry_韦,涨也不涨，叠起来一样,,,09-04
价值投资知易行难,民以食为天，竞争充分的行业，胜出的都是优秀的公司，耐心持有,,,09-02
你很棒棒哟,兄弟们买这个跟买酒etf哪个好啊,,,09-01
足智多谋的优秀23,光模块全市场前四的基金！,,,08-29
价值投资知易行难,民以食为天，放心持有,,,08-28
价值投资知易行难,长期看，茅台没有人亏过钱。总是不断创出新高。因为第一他不会垮台，其二，不好更新换,,,08-27
基金资讯,招商国证食品饮料行业交易型开放式指数证券投资基金2025年中期报告,,,08-27
牛熊无常谨慎操作,涨没有你，跌倒是第一名,,,08-27
利威尔鸡腿,游戏板块逆袭，哪些基金受益？,,,08-26
火日立鸡腿,小白提问：算力基金到底能不能买？,,,08-25
价值投资知易行难,股指期货交割,,,08-21
价值投资知易行难,刚才好厉害，感觉不行了,,,08-21
快人快语的特点122,北交所真神！长期超额10个点吊打同行！,,,08-19
老豆说,走，吃海鲜去…,,,08-15
暴走肯德基,戴维斯双击要来了？这波稳了！,,,08-14
嘉兰系百合,比白酒基稳，比债基赚得多，同泰近一年45%涨幅，回调就是加仓机会！,,,08-13
老豆说,真的好起来了？！,,,07-29
嘉兰系百合,创50熬出头的快来这，弹性强十倍不止！,,,08-08
老豆说,终究，还是来了…,,,08-06
稳定币挖掘机,三连阳！同泰继续领跑基市！,,,08-07
老豆说,再来一瓶…,,,08-05
短剧游戏王,杀溢价？杀个der！北所牛来了,,,08-04
基民90W0v63650,准备上车了,,,08-06
温柔娴静的唐美波,破位了,,,07-31
股友Yry1L6,跟跌不跌涨，食品饮料的基金经理人还在不在,,,07-31
基金资讯,招商基金管理有限公司旗下部分基金增加东莞证券股份有限公司为场内申购赎回代办券商的公告,,,07-30
年年暴富地弗兰德,我错了，以后不碰这种垃圾了，以为是底位，没想到，跌很猛，涨没它份,,,07-29
股友Yry1L6,食品饮料3600还是7毛都难上，基金经理是不是人？,,,07-29
基基bond,双抗药物迭代快，基金经理连夜扫货！,,,07-28
老豆说,发钱…,,,07-28
黄金色的橄榄,为什么今天放量啦,,,07-23
dahai6668,死活不动呢？是个吗？,,,07-21
嘉兰系百合,港股流动性扰动砸出黄金坑，创新药+大健康趁低抢筹同泰大健康主题混合C,,,07-19
基金资讯,招商国证食品饮料行业交易型开放式指数证券投资基金2025年第2季度报告,,,07-17
尤尤abc,为什么一直不涨,,,07-10
来财laicailaicai,该嗯上场表演了，三五个点还是拉的起来的吧,,,07-10
认真的戚杰,你死吧,,,07-08
老豆说,9.9…,,,07-06
股友h090931g65,这破玩意儿根本不涨,,,06-30
老豆说,别太刁钻…,,,06-29
来财laicailaicai,为啥变黑色了,,,06-26
王子1101811,一日情,,,06-20
股友Yry1L6,你好歹也涨点,,,06-11
一鹿有你啊,这把完了，持那么多酒,,,06-10
嘎兰合伙人,这个属于食品饮料板块不,,,06-05
小蔡理财,这个世界，搞点稳的资产算了,,,06-05
新星实战,大家觉得今天什么走势,,,06-05
穿越牛熊的投资人,这个不比现金流稳？,,,06-05
安席天天财经,抄底,,,06-05
翔云认知,稳！！,,,06-05
一鹿有你啊,0.75，还有谁,,,06-05
金融手,别人都涨疯了，你就这么点,,,06-04
且醉待长牛哈,买3万试试水深浅,,,06-04
唯金是也,牛市了，我嗅到了,,,06-04
A喜你入三分,这都要走成水平线了,,,06-04
q牛人自扰,食品饮料要白酒来稳定。。。,,,06-04
心静无钱zz,看涨,,,06-04
野味e少女心,这波动能赚钱？？？,,,06-04
股友x21196L970,好舞不挑曲，好票不挑消息,,,06-04
物事人非空自悲7,这玩意儿容易跌不？,,,06-04
四月的蔷薇1,稳,,,06-04
脑瓜子嗡嗡的靠,下午收盘估计是红的,,,06-03
想发财的的黎黎,抄底！博一个反弹,,,06-03
月亮不睡我不亏,看明天怎么说吧，哎,,,06-03
股友01l288886D,这种断崖跌，我反手就是加仓,,,06-03
萱儿要发财,机构卖的，我猜机构卖的,,,06-03
拥抱开放的机遇,外面好，他就差，外面差他就好,,,06-03
深蓝十字星X,这个家伙还是走势还是稳的,,,06-03
每天都在跨越阶级,行情？下跌的行情吗？,,,06-03
观潮迎牛,已经很稳了，比其他的票,,,06-03
念念要快乐,看明天怎么说，跌得话，我就放弃了,,,06-03
风度儒雅的雪狐,海天味业200多块钱一直跌到44元在食品饮料ETF当中占有5%的分量，，下奶剔除,,,06-01
自由之羽翼,又来了，现在不确定因素太多了,,,05-30
游资老六A,这看起来就是一条直线啊，还有这种,,,05-30
理财大侦探,这些稳的票是不是环境好的时候，他就会下跌，环境不好他就会上涨？,,,05-30
股海逐浪就在今日,不会涨的今天，周五,,,05-30
长线捕鲸,还好昨天买的这个，那家伙变卦了,,,05-30
