date,Y,diff,abs_diff
2025-09-12,-1.344648992750478,-2.9969738510361266,2.9969738510361266
2025-07-18,-1.306045660668378,-2.7274481819078993,2.7274481819078993
2025-07-03,1.652324858285649,2.4861795588139373,2.4861795588139373
2025-09-09,-1.2294500449686918,-2.466406904866899,2.466406904866899
2025-08-08,1.652324858285649,2.4140855159195085,2.4140855159195085
2025-07-24,1.652324858285649,2.4114469880519818,2.4114469880519818
2025-09-10,1.1549599829547117,2.3844100279234035,2.3844100279234035
2025-09-02,1.2333437547992565,2.318786874862183,2.318786874862183
2025-08-04,-0.9421432565998282,-2.178223675696389,2.178223675696389
2025-09-19,-0.4055131845508283,-2.0578380428364773,2.0578380428364773
2025-09-04,1.652324858285649,2.0469570974001936,2.0469570974001936
2025-08-01,1.2360804190965609,1.9857880839498387,1.9857880839498387
2025-06-03,1.652324858285649,1.8482105167254594,1.8482105167254594
2025-07-16,1.173289218343626,1.8082319984092114,1.8082319984092114
2025-10-15,0.5457040099132786,1.77225027089171,1.77225027089171
