,Y,D_star,OI,ET,premium,mom_1w
Y,1.0,-0.02673427848469013,-0.05030385228229383,-0.04292947777026789,-0.00976881292927491,0.10137766148727584
D_star,-0.02673427848469013,1.0,-0.08859181215091544,0.09893372247974024,-0.26414416931267876,-0.18400991305210185
OI,-0.05030385228229383,-0.08859181215091544,1.0,0.3176102288129786,0.14822018989846844,-0.29528130671506353
ET,-0.04292947777026789,0.09893372247974024,0.3176102288129786,1.0,0.10481776541038251,-0.22068121060735954
premium,-0.00976881292927491,-0.26414416931267876,0.14822018989846844,0.10481776541038251,1.0,0.0779825925238435
mom_1w,0.10137766148727584,-0.18400991305210185,-0.29528130671506353,-0.22068121060735954,0.0779825925238435,1.0
