date,Y,diff,abs_diff
2025-10-14,-1.0625689980999569,-3.030396460616692,3.030396460616692
2025-08-19,-0.9009729884950723,-2.614297554071415,2.614297554071415
2025-09-05,-0.9954152391201108,-2.135387070741826,2.135387070741826
2025-10-24,2.0481608263971616,1.860111699836324,1.860111699836324
2025-09-02,-0.1971913956705004,-1.7442376570505886,1.7442376570505886
2025-08-25,1.081810950735994,1.6945560288134747,1.6945560288134747
2025-08-13,1.502242974360259,1.6902468788803358,1.6902468788803358
2025-06-16,0.4676016415863099,-1.5805591848108516,1.5805591848108516
2025-09-25,1.0515027922736786,1.5353689118958491,1.5353689118958491
2025-10-13,1.967827462516735,1.4832784576655091,1.4832784576655091
2025-09-23,0.7101956405014045,-1.337965185895757,1.337965185895757
2025-08-05,-0.7982131651626954,-1.2718351301890058,1.2718351301890058
2025-07-24,0.189604591369144,1.2521735894691008,1.2521735894691008
2025-07-16,-0.3389283480902709,-1.2177465764914372,1.2177465764914372
2025-09-24,-0.4838661196221704,-1.1940617601235748,1.1940617601235748
