,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skew,kurt
Y,115.0,0.42994177629364716,0.8921515847820252,-1.0625689980999569,-1.0625689980999569,-1.0625689980999569,-0.09129708125491205,0.1966455086240821,1.0666568715048363,2.0481608263971616,2.0481608263971616,2.0481608263971616,0.16799582095165855,-0.7860819128543293
D_star,115.0,3.475480772739621e-17,1.0043763885240247,-0.7414093951845593,-0.7414093951845593,-0.7414093951845593,-0.7169920018603932,-0.4104038947122482,0.2910335451170943,2.0595220200306623,3.059046877221325,4.567730052630442,1.976734733778882,4.285272576975516
OI,115.0,0.1167204335833873,0.5038917171901575,-0.6590608975482827,-0.6234282326075743,-0.5029419911862786,-0.23904144352449253,0.0343284377869911,0.3940183967514296,1.1940352468208149,1.5478571776369396,1.6012057031746645,1.0007325397385534,0.7622145108809169
ET,115.0,0.026318818040676966,0.2789188044249304,-0.3934517482761254,-0.38392984702193506,-0.3470902649723729,-0.1968061704465251,-0.060822479612436,0.24575310578331644,0.4574872418802778,0.7102557187596673,0.7944991927424211,0.574878153441621,-0.6184242777581233
premium,115.0,0.08266347826086957,0.12201425882337126,-0.2827,-0.238998,-0.12134,0.0235,0.0822,0.15425,0.25314,0.372156,0.4146,-0.33290553191458666,1.0244536532414736
mom_1w,115.0,-0.16376000000000002,1.8115303921115595,-4.2129,-3.940102,-3.27218,-1.21375,-0.1611,0.6694,3.0914099999999998,4.910051999999999,5.9541,0.3917712180469217,1.0096617148932987
M1_star,115.0,0.30914295170279305,1.3644115682762537,-1.0811678184856766,-1.008988410179919,-0.8462361695554149,-0.4652766995275973,-0.071196577023403,0.5726501837399938,2.3822090367310462,4.844459791599202,9.055957105148762,3.3067114664767865,15.804424597818139
M2_star,115.0,0.16602276772013366,1.1841813718665244,-1.5781977936171567,-1.510129186973372,-1.2444974074406479,-0.6179070572700529,-0.1442248486806416,0.8263847625374725,2.2734813401307368,3.160814035747318,5.882789700069164,1.5153460814216588,4.056549825992396
Y_star,115.0,0.29069747391743195,1.153416841534255,-0.952636447190965,-0.869664497937329,-0.629214539368104,-0.28362230535132626,0.0209936496970062,0.44569787794533877,2.3466267724167387,4.021345724725942,7.822293094964611,3.4814783833700975,17.008432264845595
