,Y,D_star,OI,ET,premium,mom_1w
Y,1.0,-0.21714993273846545,-0.1360106053928225,-0.23135408723530762,0.5223666041293007,-0.40571408281915045
D_star,-0.21714993273846545,1.0,-0.005890523054007204,0.15543264714891797,-0.10691311981968907,0.37382349107155644
OI,-0.1360106053928225,-0.005890523054007204,1.0,0.06046713485362582,-0.2266345752374266,-0.23592677345537758
ET,-0.23135408723530762,0.15543264714891797,0.06046713485362582,1.0,-0.25465020105025704,0.3143375680580762
premium,0.5223666041293007,-0.10691311981968907,-0.2266345752374266,-0.25465020105025704,1.0,-0.27133725479144855
mom_1w,-0.40571408281915045,0.37382349107155644,-0.23592677345537758,0.3143375680580762,-0.27133725479144855,1.0
