date,ET_mean,ET_var,ET_n,ET_z,ET_ema_hl7
2025-05-01,4.0,,1,1.1816519819916356,1.1816519819916356
2025-05-02,4.0,0.0,2,1.1816519819916356,1.1816519819916356
2025-05-03,4.0,,1,1.1816519819916356,1.1816519819916356
2025-05-05,5.0,,1,2.2234043635783416,1.4819504874310099
2025-05-06,3.6666666666666665,0.33333333333333337,3,0.8344011881294,1.3256133748162036
2025-05-07,4.0,0.0,2,1.1816519819916356,1.2953153644455042
2025-05-08,4.0,0.0,3,1.1816519819916356,1.2738838300352624
2025-05-09,3.3333333333333335,0.33333333333333326,3,0.48715039426716494,1.138323289972243
2025-05-12,4.5,0.5,2,1.7025281727849886,1.2285034428265014
2025-05-13,2.6666666666666665,0.33333333333333337,3,-0.2073511934573061,1.013122685060367
2025-05-16,2.3333333333333335,0.33333333333333326,3,-0.5546019873195411,0.7903739592667675
2025-05-18,3.0,,1,0.1398996004049294,0.7021687954600586
2025-05-19,3.0,0.0,2,0.1398996004049294,0.6289501242927351
2025-05-20,4.333333333333333,0.33333333333333326,3,1.5289027758538705,0.7420757753929551
2025-05-21,3.0,0.0,3,0.1398996004049294,0.6686874194923598
2025-05-22,3.5,4.5,2,0.6607757911982824,0.6677491075522236
2025-05-23,2.6666666666666665,2.333333333333333,3,-0.2073511934573061,0.566427428152222
2025-05-24,1.0,0.0,2,-1.9436051627684827,0.28192712656291996
2025-05-25,4.0,2.0,2,1.1816519819916356,0.3819984238226161
2025-05-26,1.0,0.0,3,-1.9436051627684827,0.1276454881767466
2025-05-27,1.5,0.5,2,-1.4227289719751297,-0.03939865253404508
2025-05-28,3.5,0.5,2,0.6607757911982824,0.035038685745129444
2025-05-29,2.3333333333333335,2.3333333333333335,3,-0.5546019873195411,-0.026901992338229857
2025-05-30,1.6666666666666667,0.33333333333333337,3,-1.249103575044012,-0.15392378251114086
2025-05-31,5.0,,1,2.2234043635783416,0.09078675108892381
2025-06-02,3.5,0.5,2,0.6607757911982824,0.14895497002002797
2025-06-03,1.6666666666666667,0.33333333333333337,3,-1.249103575044012,0.007381791911406146
2025-06-04,2.6666666666666665,2.3333333333333335,3,-0.2073511934573061,-0.014212063045643802
2025-06-05,4.0,1.0,3,1.1816519819916356,0.10529461903382843
2025-06-06,3.0,2.0,2,0.1398996004049294,0.1087333572862436
2025-06-08,2.5,4.5,2,-0.38097659038842363,0.06031697052640691
2025-06-09,4.0,1.0,3,1.1816519819916356,0.1706738693977269
2025-06-10,3.0,2.0,2,0.1398996004049294,0.16765768502156211
2025-06-11,2.3333333333333335,1.3333333333333335,3,-0.5546019873195411,0.09713236897920083
2025-06-12,2.0,1.0,3,-0.9018527811817767,-8.637622022923951e-05
2025-06-13,2.6666666666666665,0.33333333333333337,3,-0.2073511934573061,-0.020195715737396144
2025-06-14,2.0,,1,-0.9018527811817767,-0.10550198027101264
2025-06-16,4.0,,1,1.1816519819916356,0.018730695166560354
2025-06-17,3.3333333333333335,0.33333333333333337,3,0.48715039426716494,0.06384022748813696
2025-06-18,1.6666666666666667,0.33333333333333337,3,-1.249103575044012,-0.062342721009927514
2025-06-19,1.0,,1,-1.9436051627684827,-0.24281464365983335
2025-06-20,3.0,1.0,3,0.1398996004049294,-0.2061610344515187
2025-06-22,1.0,,1,-1.9436051627684827,-0.3723122613220439
2025-06-23,2.0,2.0,2,-0.9018527811817767,-0.4228836115740297
2025-06-24,4.666666666666667,0.3333333333333335,3,1.8761535697161065,-0.20359299316172488
2025-06-25,2.5,0.5,2,-0.38097659038842363,-0.2204937778637742
2025-06-26,3.0,0.0,3,0.1398996004049294,-0.18619052216611848
2025-06-27,1.0,,1,-1.9436051627684827,-0.35331469773960456
2025-06-30,3.0,1.0,3,0.1398996004049294,-0.30645013155456824
2025-07-01,2.6666666666666665,2.3333333333333335,3,-0.2073511934573061,-0.2970408671592788
2025-07-03,1.0,,1,-1.9436051627684827,-0.4532741945834521
2025-07-04,1.0,,1,-1.9436051627684827,-0.5945974716048985
2025-07-06,4.0,,1,1.1816519819916356,-0.4262541296715148
2025-07-08,2.0,,1,-0.9018527811817767,-0.4713063562519053
2025-07-09,2.6666666666666665,2.3333333333333335,3,-0.2073511934573061,-0.4463138417472529
2025-07-10,3.3333333333333335,4.333333333333333,3,0.48715039426716494,-0.3579651419264468
2025-07-11,2.3333333333333335,1.3333333333333335,3,-0.5546019873195411,-0.3765691638954523
2025-07-12,1.0,,1,-1.9436051627684827,-0.5247785030270794
2025-07-13,3.0,,1,0.1398996004049294,-0.46193268753266387
2025-07-14,3.6666666666666665,2.3333333333333335,3,0.8344011881294,-0.3393969688145452
2025-07-15,3.6666666666666665,1.3333333333333335,3,0.8344011881294,-0.2284714787329011
2025-07-16,3.6666666666666665,1.3333333333333333,3,0.8344011881294,-0.12805118954188668
2025-07-17,3.0,0.0,3,0.1398996004049294,-0.10274033564659502
2025-07-18,2.5,0.5,2,-0.38097659038842363,-0.12901791502798982
2025-07-21,2.0,1.0,3,-0.9018527811817767,-0.20199487930675822
2025-07-22,3.0,8.0,2,0.1398996004049294,-0.16971547777151513
2025-07-23,1.5,0.5,2,-1.4227289719751297,-0.2880004671778592
2025-07-26,5.0,,1,2.2234043635783416,-0.05095222976420951
2025-07-28,2.5,4.5,2,-0.38097659038842363,-0.08209930034572102
2025-07-30,3.6666666666666665,5.333333333333334,3,0.8344011881294,0.004389469096961847
2025-07-31,2.3333333333333335,1.3333333333333333,3,-0.5546019873195411,-0.04835685101857622
