date,ET_mean,ET_var,ET_n,ET_z,ET_ema_hl7
2025-05-02,1.0,,1,-2.5116056147692603,-2.5116056147692603
2025-05-03,3.0,,1,0.06215035727958874,-1.1610656491321265
2025-05-06,3.0,1.0,3,0.06215035727958874,-0.7123534248862003
2025-05-07,3.6666666666666665,1.3333333333333333,3,0.9200690146292049,-0.2417866880139287
2025-05-08,2.6666666666666665,2.3333333333333335,3,-0.3668089713952196,-0.27197067990060253
2025-05-09,3.0,4.0,3,0.06215035727958874,-0.20165180863286997
2025-05-10,4.0,,1,1.3490283433040131,0.09073307661372558
2025-05-11,2.3333333333333335,1.3333333333333333,3,-0.7957683000700274,-0.06201828735052718
2025-05-12,3.3333333333333335,0.33333333333333337,3,0.4911096859543971,0.02639137853525914
2025-05-13,3.0,4.0,3,0.06215035727958874,0.03175528915982635
2025-05-14,4.0,0.0,3,1.3490283433040131,0.2189188259098277
2025-05-15,4.0,1.0,3,1.3490283433040131,0.3721631371470786
2025-05-16,3.6666666666666665,0.33333333333333326,3,0.9200690146292049,0.44351141769813085
2025-05-17,3.0,,1,0.06215035727958874,0.39557365320654286
2025-05-18,4.0,2.0,2,1.3490283433040131,0.5117729899427669
2025-05-19,4.0,1.0,3,1.3490283433040131,0.6110707154931169
2025-05-20,3.0,3.0,3,0.06215035727958874,0.5475151065110564
2025-05-21,3.3333333333333335,0.33333333333333337,3,0.4911096859543971,0.5411218193411259
2025-05-22,4.666666666666667,0.33333333333333326,3,2.20694700065363,0.7264021146402686
2025-05-23,4.0,0.0,3,1.3490283433040131,0.7944991927424211
2025-05-24,3.0,0.0,2,0.06215035727958874,0.7155927188132429
2025-05-25,2.0,,1,-1.2247276287448357,0.5093122934506147
2025-05-26,2.6666666666666665,2.3333333333333335,3,-0.3668089713952196,0.4172773513124738
2025-05-27,3.0,3.0,3,0.06215035727958874,0.3803694736275856
2025-05-28,3.6666666666666665,0.33333333333333326,3,0.9200690146292049,0.435923505105933
2025-05-29,3.3333333333333335,4.333333333333333,3,0.4911096859543971,0.4415553359371873
2025-05-30,1.6666666666666667,1.3333333333333335,3,-1.6536869574196438,0.22938245417526054
2025-05-31,4.0,,1,1.3490283433040131,0.34197564004090214
2025-06-01,1.5,0.5,2,-1.868166621757048,0.12110875326795004
2025-06-02,3.0,0.0,2,0.06215035727958874,0.11524998717262909
2025-06-03,1.6666666666666667,1.3333333333333335,3,-1.6536869574196438,-0.059640344685691384
2025-06-04,2.6666666666666665,2.3333333333333335,3,-0.3668089713952196,-0.08987054059291763
2025-06-05,3.0,0.0,3,0.06215035727958874,-0.07497098092763649
2025-06-06,3.0,1.0,3,0.06215035727958874,-0.06158171653485872
2025-06-07,3.6666666666666665,0.33333333333333326,3,0.9200690146292049,0.03395008620764937
2025-06-08,3.0,,1,0.06215035727958874,0.03668614548206598
2025-06-09,2.0,1.0,3,-1.2247276287448357,-0.08536414065306627
2025-06-10,2.6666666666666665,0.33333333333333326,3,-0.3668089713952196,-0.11252844681711625
2025-06-11,2.0,3.0,3,-1.2247276287448357,-0.2196349264154991
2025-06-12,2.0,1.0,3,-1.2247276287448357,-0.31623126241191174
2025-06-13,2.6666666666666665,4.333333333333333,3,-0.3668089713952196,-0.3210832470052535
2025-06-14,4.333333333333333,0.33333333333333326,3,1.777987671978821,-0.1200493781117805
2025-06-15,2.6666666666666665,2.333333333333333,3,-0.3668089713952196,-0.1436469191767877
2025-06-16,1.6666666666666667,1.3333333333333335,3,-1.6536869574196438,-0.2878564004242838
2025-06-17,3.0,0.0,3,0.06215035727958874,-0.25447146912782825
2025-06-18,4.333333333333333,0.33333333333333326,3,1.777987671978821,-0.060822479612436066
2025-06-19,3.0,1.0,3,0.06215035727958874,-0.04911757901732001
2025-06-20,2.0,1.0,3,-1.2247276287448357,-0.16091411002224765
2025-06-21,3.0,4.0,3,0.06215035727958874,-0.1397188212183263
2025-06-22,2.3333333333333335,2.333333333333333,3,-0.7957683000700274,-0.20200952908493314
2025-06-23,2.0,3.0,3,-1.2247276287448357,-0.29904956095789237
2025-06-24,2.0,3.0,3,-1.2247276287448357,-0.3868286253397107
2025-06-25,4.0,1.0,3,1.3490283433040131,-0.222313465248794
2025-06-26,2.6666666666666665,2.333333333333333,3,-0.3668089713952196,-0.2360011497325178
2025-06-27,2.6666666666666665,2.333333333333333,3,-0.3668089713952196,-0.24838664863928117
2025-06-28,2.3333333333333335,1.3333333333333333,3,-0.7957683000700274,-0.3001941580690534
2025-06-29,3.3333333333333335,0.33333333333333337,3,0.4911096859543971,-0.2253280562001928
2025-06-30,3.0,0.0,3,0.06215035727958874,-0.19813851766560342
2025-07-01,2.6666666666666665,2.3333333333333335,3,-0.3668089713952196,-0.2140864361538422
2025-07-02,4.0,1.0,3,1.3490283433040131,-0.06633330207643492
2025-07-03,2.3333333333333335,5.333333333333334,3,-0.7957683000700274,-0.13526588146112575
2025-07-04,2.6666666666666665,4.333333333333333,3,-0.3668089713952196,-0.15714208994431475
2025-07-05,2.3333333333333335,0.33333333333333326,3,-0.7957683000700274,-0.21746725152120014
2025-07-06,2.6666666666666665,2.3333333333333335,3,-0.3668089713952196,-0.23157159210249825
2025-07-07,2.6666666666666665,0.33333333333333337,3,-0.3668089713952196,-0.24434173722666416
2025-07-08,3.3333333333333335,0.33333333333333326,3,0.4911096859543971,-0.17490530813150348
2025-07-09,3.0,1.0,3,0.06215035727958874,-0.15252715577993084
2025-07-10,2.6666666666666665,0.33333333333333326,3,-0.3668089713952196,-0.17275293781209575
