industry,date,D
汽车,2025-05-21,2.028
汽车,2025-05-22,2.0199042023896148
汽车,2025-05-23,2.011840723289559
汽车,2025-05-24,2.0038094336839953
汽车,2025-05-25,1.9958102050721185
汽车,2025-05-26,1.9878429094661
汽车,2025-05-27,1.9799074193890405
汽车,2025-05-28,1.972003607872929
汽车,2025-05-29,1.9641313484566132
汽车,2025-05-30,4.153290515183775
汽车,2025-05-31,4.885510535189662
汽车,2025-06-01,4.866007525073144
汽车,2025-06-02,4.846582371180834
汽车,2025-06-03,4.827234762709858
汽车,2025-06-04,4.807964390098065
汽车,2025-06-05,4.788770945019084
汽车,2025-06-06,4.769654120377384
汽车,2025-06-07,4.750613610303362
汽车,2025-06-08,4.731649110148452
汽车,2025-06-09,6.740760316480246
汽车,2025-06-10,6.713851129467258
汽车,2025-06-11,6.68704936421557
汽车,2025-06-12,6.6603545918963665
汽车,2025-06-13,6.633766385392721
汽车,2025-06-14,6.607284319292762
汽车,2025-06-15,6.580907969882867
汽车,2025-06-16,6.554636915140883
汽车,2025-06-17,6.528470734729375
汽车,2025-06-18,6.502409009988895
汽车,2025-06-19,9.112851323931293
汽车,2025-06-20,9.076472724339538
汽车,2025-06-21,9.040239348505004
汽车,2025-06-22,9.004150616692904
汽车,2025-06-23,10.268205951482761
汽车,2025-06-24,10.227215163906353
汽车,2025-06-25,10.186388011990747
汽车,2025-06-26,10.145723842500642
汽车,2025-06-27,10.105222004808459
汽车,2025-06-28,10.064881850883932
汽车,2025-06-29,10.024702735283737
汽车,2025-06-30,9.984684015141166
汽车,2025-07-01,9.944825050155846
汽车,2025-07-02,9.905125202583482
汽车,2025-07-03,9.865583837225671
汽车,2025-07-04,9.826200321419721
汽车,2025-07-05,9.78697402502854
汽车,2025-07-06,9.747904320430548
汽车,2025-07-07,9.708990582509637
汽车,2025-07-08,9.670232188645173
汽车,2025-07-09,9.631628518702025
汽车,2025-07-10,9.593178955020651
汽车,2025-07-11,9.554882882407211
汽车,2025-07-12,9.516739688123728
汽车,2025-07-13,9.478748761878279
汽车,2025-07-14,9.440909495815234
汽车,2025-07-15,11.600221284505528
汽车,2025-07-16,11.553913077525726
汽车,2025-07-17,13.535789733401648
汽车,2025-07-18,15.509754716548418
汽车,2025-07-19,15.447839610447879
汽车,2025-07-20,15.386171670110661
汽车,2025-07-21,15.324749908848403
汽车,2025-07-22,15.263573343911615
汽车,2025-07-23,15.202640996473953
汽车,2025-07-24,15.141951891616557
汽车,2025-07-25,15.081505058312455
汽车,2025-07-26,15.021299529411026
