date,ET_mean,ET_var,ET_n,ET_z,ET_ema_hl7
2025-05-12,3.0,,1,0.039720945594382204,0.039720945594382204
2025-05-13,4.0,,1,1.133852446966927,0.6138500923797624
2025-05-15,2.5,4.5,2,-0.5073448050918902,0.20256226290350643
2025-06-03,3.6666666666666665,0.33333333333333326,3,0.7691419465094119,0.3658861344938167
2025-06-04,3.0,,1,0.039720945594382204,0.2871404329341119
2025-06-09,3.0,,1,0.039720945594382204,0.23506870699250956
2025-06-11,3.0,,1,0.039720945594382204,0.19823536471478134
2025-06-12,2.0,,1,-1.0544105557781627,-0.017605668308016995
2025-06-13,2.5,0.5,2,-0.5073448050918902,-0.09588352721931602
2025-06-14,2.0,,1,-1.0544105557781627,-0.23966429202197223
2025-06-17,3.5,0.5,2,0.5867866962806546,-0.12223875945329159
2025-06-21,4.0,,1,1.133852446966927,0.04808883164856559
2025-06-23,1.0,,1,-2.1485420571507072,-0.2379563512236887
2025-06-25,4.333333333333333,0.33333333333333326,3,1.4985629474244417,-0.01967278267494679
2025-06-26,1.0,,1,-2.1485420571507072,-0.2791221306737711
2025-06-30,1.0,,1,-2.1485420571507072,-0.500833638462208
2025-07-03,2.5,4.5,2,-0.5073448050918902,-0.5015875204309509
2025-07-04,2.5,4.5,2,-0.5073448050918902,-0.5022400813691226
2025-07-07,3.0,,1,0.039720945594382204,-0.44196082743365983
2025-07-08,4.0,1.0,3,1.133852446966927,-0.26961299709640274
2025-07-10,1.0,,1,-2.1485420571507072,-0.4720570506849534
2025-07-11,4.0,0.0,2,1.133852446966927,-0.30132869921122907
2025-07-14,3.0,,1,0.039720945594382204,-0.2655020555885096
2025-07-16,4.0,,1,1.133852446966927,-0.12006899731378147
2025-07-18,3.5,0.5,2,0.5867866962806546,-0.04730872892497341
2025-07-22,4.0,0.0,2,1.133852446966927,0.07323050435400064
2025-07-23,3.0,,1,0.039720945594382204,0.06983718813890646
2025-07-24,1.0,,1,-2.1485420571507072,-0.15324618948125876
2025-07-28,3.0,,1,0.039720945594382204,-0.1339623401515866
2025-07-29,2.0,,1,-1.0544105557781627,-0.22542837663053342
2025-07-31,1.0,,1,-2.1485420571507072,-0.41556177331018257
2025-08-03,3.0,,1,0.039720945594382204,-0.37075483474651616
2025-08-04,3.3333333333333335,4.333333333333333,3,0.4044314460518973,-0.2947788708882459
2025-08-05,3.0,,1,0.039720945594382204,-0.26211651110691786
2025-08-06,3.0,,1,0.039720945594382204,-0.23274244204296915
2025-08-11,3.0,8.0,2,0.039720945594382204,-0.20630737775644428
2025-08-12,4.5,0.5,2,1.6809181976531995,-0.023705581116435503
2025-08-13,4.0,,1,1.133852446966927,0.0880188395971863
2025-08-15,1.5,0.5,2,-1.601476306464435,-0.07468212290448899
2025-08-18,2.3333333333333335,2.333333333333333,3,-0.6897000553206475,-0.1337895850378913
2025-08-20,4.0,,1,1.133852446966927,-0.012183056533611356
2025-08-27,3.0,,1,0.039720945594382204,-0.007212065670712947
2025-08-29,2.3333333333333335,1.3333333333333335,3,-0.6897000553206475,-0.07247817406326319
2025-08-30,3.0,,1,0.039720945594382204,-0.06176310927525751
2025-09-01,2.0,1.0,3,-1.0544105557781627,-0.156445472040206
2025-09-02,3.5,4.5,2,0.5867866962806546,-0.08563167044402606
2025-09-03,2.5,4.5,2,-0.5073448050918902,-0.125771513074819
2025-09-04,3.5,0.5,2,0.5867866962806546,-0.05800964257746408
2025-09-05,3.3333333333333335,0.33333333333333326,3,0.4044314460518973,-0.014069105804136306
2025-09-09,2.5,4.5,2,-0.5073448050918902,-0.06090473859178973
2025-09-10,2.0,2.0,2,-1.0544105557781627,-0.15517297946656886
