date,z_1,z_2,z_3,OI_mean,K_used
2025-05-01,2.579293036951313,1.5229473866711452,1.3658908387211017,1.8227104207811866,4
2025-05-02,2.856109552606988,2.238450173876689,0.4600235252341276,1.8515277505726015,4
2025-05-03,2.856109552606988,0.044805769324795734,0.05483020881524754,0.9852485102490105,4
2025-05-04,2.807554032014906,-0.5001197291188887,0.32419870787938293,0.8772110035918002,4
2025-05-05,1.956292298208764,-0.5985132623308231,-0.4273035251970517,0.3101585035602964,4
2025-05-06,1.6316386540054448,0.9662868987551088,-0.18800544693965057,0.8033067019403011,4
2025-05-07,1.6080173136279805,0.5205778883250056,-0.4769911152763937,0.5505346955588641,4
2025-05-08,1.6001137273175081,0.34287120222639567,-0.3587953630728565,0.5280631888236824,4
2025-05-09,1.5483722917323948,-0.4823376164309573,0.1067854870654701,0.39094005412230254,4
2025-05-10,1.426462191321597,-0.7708726906404151,-0.3201854657331049,0.1118013449826923,4
2025-05-11,1.5363403016830803,-0.9930990161828677,-0.8219700015285265,-0.09290957200943795,4
2025-05-12,1.6316386540054448,0.6161427823874678,-0.9554525434027674,0.43077629766338177,4
2025-05-13,1.5921951436805648,0.35102039392512996,-0.5273248559606211,0.4719635605483579,4
2025-05-14,1.512171745762769,0.02797265877429883,-1.1766904780787002,0.12115130881945586,4
2025-05-15,1.463410618547874,0.16181996885956065,-1.273764158147193,0.11715547642008055,4
2025-05-16,1.4140729917482002,-0.09922337964178625,-1.1054502440900522,0.06979978933878724,4
2025-05-17,1.4182068131110168,-0.7434519018375351,-1.31080377203018,-0.2120162869188994,4
2025-05-18,1.4756544189922252,-0.9184517339806293,-1.0703158717126247,-0.17103772890034294,4
2025-05-19,1.4919238053868669,-0.014239432758280756,-0.2629832899625397,0.40490036088868214,4
2025-05-20,1.2193497912355553,0.5285779887653306,-0.9328833242772663,0.27168148524120656,4
2025-05-21,1.5323219168521014,0.2938305511234613,-0.7569161993956983,0.35641208952662146,4
2025-05-22,1.5162095712587524,0.2774279551206138,-0.9781541340716311,0.27182779743591173,4
2025-05-23,1.1670219291144885,-0.10776321173839233,-1.2007316119737486,-0.047157631532550814,4
2025-05-24,1.434701270650478,-1.1251419549974475,-1.3588632427625642,-0.3497679757031779,4
2025-05-25,1.4140729917482002,-1.1904150415470773,-1.3588632427625642,-0.3784017641871471,4
2025-05-26,1.5723326962616975,-0.29758340148774765,-1.0239607055269593,0.08359619641566352,4
2025-05-27,1.3557653639910594,-0.039655881426616794,-1.140906462527182,0.05840100667908684,4
2025-05-28,1.4959812605674923,-0.04814297525020992,-1.152797747190118,0.09834684604238812,4
2025-05-29,1.434701270650478,0.7889169323405663,-1.3588632427625642,0.28825165340949344,4
2025-05-30,1.4470294696446533,0.14519054341346627,-1.3356952411808947,0.08550825729240834,4
2025-05-31,1.4016469012035306,-0.7252147016362783,-1.3588632427625642,-0.2274770143984373,4
2025-06-01,1.4470294696446533,-1.0212417575358508,-1.3588632427625642,-0.31102517688458725,4
2025-06-02,1.4919238053868669,-0.8906076617925515,-1.1886923795195927,-0.1957920786417591,4
2025-06-03,1.463410618547874,0.49653759203662345,-0.735472321203671,0.4081586297936088,4
2025-06-04,1.434701270650478,-0.005782183664069779,-0.7247947692918654,0.234708105898181,4
2025-06-05,1.046828561943335,0.6556829951623426,-1.348201262120108,0.11810343166185655,4
2025-06-06,0.9922775586891136,0.28563274898691515,-1.2984178090978764,-0.00683583380728255,4
2025-06-07,1.309373763870377,-0.6979235621273455,-1.3588632427625642,-0.2491376803398442,4
2025-06-08,1.2193497912355553,-1.1632038057366951,-0.6092455882091614,-0.18436653423676708,4
2025-06-09,0.7666500525979978,0.16181996885956065,-0.8659546806868973,0.020838446923553706,4
2025-06-10,0.3771147510364529,-0.09922337964178625,-0.5680684965260866,-0.09672570837713997,4
2025-06-11,0.13702755336474362,0.036392895832722254,-0.8219700015285265,-0.21618318411035353,4
2025-06-12,-0.058442253552258815,-0.3325022065235026,1.1813896945490463,0.26348174482442827,4
2025-06-13,-0.26970678690097005,0.07838388447960992,2.7724469207181204,0.8603746727655867,4
2025-06-14,0.4140683717282033,-1.0118516931250303,-0.8438998625341012,-0.48056106131030935,4
2025-06-15,0.578952725709887,-1.1822913521277576,-0.8001636896910809,-0.4678341053696505,4
2025-06-16,0.1594334720200935,0.2692161575881992,-0.2819569069433892,0.04889757422163451,4
2025-06-17,0.33447742151094034,0.5205778883250056,0.02858868380382091,0.2945479978799223,4
2025-06-18,-0.058442253552258815,-0.014239432758280756,1.5538508887687015,0.493723067486054,4
2025-06-19,-0.40819314665798684,-0.005782183664069779,1.0689985841063405,0.21834108459476131,4
2025-06-20,-0.38266956663650437,-0.1419985511616241,-0.02443420171104267,-0.18303410650305707,4
2025-06-21,0.1538432604346032,-0.8443792199990461,-0.09628053576566573,-0.2622721651100362,4
2025-06-22,0.16501620505942377,-1.1346433090785237,-0.006679078313998501,-0.32543539411103284,4
2025-06-23,-0.41459850835227885,0.17842069813016026,2.125060179184203,0.6296274563206948,4
2025-06-24,-0.38266956663650437,0.2938305511234613,2.6450982890380854,0.8520864245083475,4
2025-06-25,-0.5713527992227828,0.4482760181167253,0.8124811486865766,0.229801455860173,4
2025-06-26,-0.6655879204579669,0.31838212606163097,1.0149577744875948,0.22258399336375298,4
2025-06-27,-0.6384457608757933,-0.46458831208764645,0.9944963517883231,-0.03617924039170558,4
2025-06-28,-0.6047644454748258,-1.0306409964126255,0.6440079469850807,-0.3304658316341235,4
