date,OI_mean
2025-05-01,-0.3959784251266237
2025-05-02,-0.5495510170580076
2025-05-03,-0.6778967791720012
2025-05-04,-0.7287478624509194
2025-05-05,-0.4967878274564261
2025-05-06,0.366699397332874
2025-05-07,0.9902147035674531
2025-05-08,0.6102351357266719
2025-05-09,0.04087375644360199
2025-05-10,-0.34737522206381666
2025-05-11,-0.4488223879882607
2025-05-12,0.46266740472015994
2025-05-13,0.18728291449149484
2025-05-14,0.5054887186169824
2025-05-15,0.551947224624607
2025-05-16,0.20072180723827127
2025-05-17,0.00761290095180948
2025-05-18,-0.16230497359036047
2025-05-19,0.6965960166384488
2025-05-20,0.6423335858092707
2025-05-21,0.5739292502684761
2025-05-22,0.48689422894789686
2025-05-23,1.1635861238168141
2025-05-24,0.5463642624821383
2025-05-25,-0.37526774888061665
2025-05-26,0.09229133193475449
2025-05-27,-0.40690383966380006
2025-05-28,-0.27443710551284684
2025-05-29,0.13565001361176307
2025-05-30,-0.4961423439529489
2025-05-31,-0.6884024988989047
2025-06-01,-0.40607569908597646
2025-06-02,-0.08292444621705138
2025-06-03,0.9010452589674148
2025-06-04,0.6462509519154978
2025-06-05,0.309164836284428
2025-06-06,0.474661855730504
2025-06-07,0.2935265304221362
2025-06-08,0.29152523828893684
2025-06-09,0.6472973578355158
2025-06-10,0.7273312605743746
2025-06-11,0.2592682530639173
2025-06-12,0.19329391451812436
2025-06-13,-0.3085489026313121
2025-06-14,-0.4014538776343237
2025-06-15,1.7038189886327808
2025-06-16,2.1565902466189986
2025-06-17,1.3045935502359958
2025-06-18,1.3869031952596433
2025-06-19,0.40394085206191316
2025-06-20,-0.05803945952700166
2025-06-21,-0.14821849943766993
2025-06-22,-0.384414745727355
2025-06-23,0.19316775181547344
2025-06-24,-0.04927383534480521
2025-06-25,-0.016680234465302906
2025-06-26,0.3421923176745995
2025-06-27,0.5824288376090748
2025-06-28,0.015698330287876334
2025-06-29,-0.06760254241975239
2025-06-30,-0.05385590499479712
2025-07-01,0.04875241333237398
2025-07-02,0.39434030272772125
2025-07-03,0.1819609299134045
2025-07-04,0.37241074649544154
2025-07-05,0.24809838670367687
2025-07-06,-0.09172875885336608
2025-07-07,0.5961151885398887
2025-07-08,0.3410399861932178
2025-07-09,0.08254808430688763
2025-07-10,-0.028333631717113134
2025-07-11,-0.5041362533527901
2025-07-12,-0.4503033916288619
2025-07-13,-0.599939670485648
2025-07-14,0.17242587773417037
2025-07-15,0.542209556994565
2025-07-16,0.20541173479728844
2025-07-17,-0.11495472105013489
2025-07-18,-0.1517186520771235
2025-07-19,-0.7357599570606767
2025-07-20,-0.5256707518847972
2025-07-21,-0.23947997885235695
2025-07-22,-0.8131207814937231
2025-07-23,-0.4086785869860165
2025-07-24,-0.12470656188467592
2025-07-25,-0.7294950554039437
2025-07-26,-0.6929155794269864
2025-07-27,-0.7424799214799118
2025-07-28,0.010708614064203759
2025-07-29,-0.5723573301121009
2025-07-30,-0.6363386004399433
2025-07-31,-0.41131775389433384
2025-08-01,-0.15479652880851327
2025-08-02,-0.2816610547251251
2025-08-03,-0.8787777398093839
2025-08-04,0.06732497583706051
2025-08-05,-0.42813970015016406
2025-08-06,-0.5680492036387895
2025-08-07,-0.44143808890278496
2025-08-08,-0.4562550199124844
2025-08-09,-1.376742735540405
2025-08-10,-1.2933876746617023
2025-08-11,0.2439108780380508
2025-08-12,0.30424625843658853
2025-08-13,0.154638037576386
2025-08-14,-0.43762359571930426
2025-08-15,-0.8137451420671543
2025-08-16,-0.9482356428674885
2025-08-17,-0.6396576763729952
2025-08-18,-0.5811423632178919
2025-08-19,-0.1816104375112071
2025-08-20,-0.5758666562750007
2025-08-21,-0.5395592515907097
2025-08-22,-0.6805588876972827
2025-08-23,-0.8661254572924356
2025-08-24,-0.9528543216520732
2025-08-25,-0.31153303076861627
2025-08-26,-0.37257692744117793
2025-08-27,-0.2602418901438463
2025-08-28,-0.6152763789878412
2025-08-29,-0.6673196368170724
2025-08-30,-1.038898274829519
2025-08-31,-1.031661406560482
2025-09-01,-0.3816255063437692
2025-09-02,-0.011850689554221009
2025-09-03,-0.5941772987452741
2025-09-04,0.09743346261243824
2025-09-05,0.12447640591777205
2025-09-06,-0.48246051279097174
2025-09-07,-0.6116821979321482
2025-09-08,-0.018868305010171227
2025-09-09,0.07694228916316055
2025-09-10,0.30323544034835853
2025-09-11,-0.07836945844892577
2025-09-12,-0.5711546484560291
2025-09-13,-0.5745661435673765
2025-09-14,-0.5264209061881706
2025-09-15,0.6078766054249974
2025-09-16,0.3112410310439963
2025-09-17,-0.14266470299612055
2025-09-18,0.09681438911143166
2025-09-19,-0.44089200326513245
2025-09-20,-0.6636310845311538
2025-09-21,-0.8706565788489012
2025-09-22,0.5856861633794993
2025-09-23,0.7051877392694829
2025-09-24,0.5269486950826398
2025-09-25,0.05389650132981686
2025-09-26,0.6184756587900475
2025-09-27,-0.18354812010856733
2025-09-28,0.46838251888743593
2025-09-29,0.5500244805651399
2025-09-30,-0.04401720628912562
2025-10-01,1.2102176859447569
2025-10-02,-0.5255962488844109
2025-10-03,-0.6135790626620878
2025-10-04,0.21336686469155078
2025-10-05,0.3388213170510604
2025-10-06,0.42679649942442954
2025-10-07,0.4906380917033071
2025-10-08,0.6269473698047711
2025-10-09,1.0541202773260352
2025-10-10,0.896808303736723
2025-10-11,0.7098563564582975
2025-10-12,0.11105388136243205
2025-10-13,0.979823561434352
2025-10-14,0.49389618491478426
2025-10-15,0.6841375586675644
2025-10-16,0.595361977761424
