lag,corr
0,-0.010032082748508961
1,0.03706316923517121
2,-0.14035385808952566
3,-0.09995752474021215
4,-0.16558154845721984
5,-0.08148258893157065
6,-0.14116302368163702
7,-0.10760474457838111
8,-0.04181149881052972
9,0.06970867116641402
10,0.027850060258188883
11,-0.16618215771198033
12,-0.13090451091131308
13,-0.0208676272902013
14,0.033780580274253416
15,0.009496856350428552
16,-0.04820695111927632
17,-0.02881117650359982
18,-0.03249374220849708
19,-0.009221918524565184
20,-0.0389586364333874
