,Y,D_star,OI,ET,premium,mom_1w
Y,1.0,-0.010032082748508968,-0.013402860466890867,0.12253527727871312,0.36763799575316636,0.2316826603528697
D_star,-0.010032082748508968,1.0,-0.009729132992719398,0.4580963425529722,0.031178314674366454,0.03769274225978353
OI,-0.013402860466890867,-0.009729132992719398,1.0,0.31727175894755527,-0.02844127297371236,-0.14241751299574043
ET,0.12253527727871312,0.4580963425529722,0.31727175894755527,1.0,0.20719152569896862,0.2777383326432054
premium,0.36763799575316636,0.031178314674366454,-0.02844127297371236,0.20719152569896862,1.0,0.1998655238897485
mom_1w,0.2316826603528697,0.03769274225978353,-0.14241751299574043,0.2777383326432054,0.1998655238897485,1.0
