,Y,D_star,OI,ET,premium,mom_1w
Y,1.0,0.06320995728651436,0.0033193614784863307,0.20526373261289702,0.37513274313741496,0.171801624774736
D_star,0.06320995728651436,1.0,-0.058857413398563874,0.228087826285727,0.054798682222495454,0.07328967095399669
OI,0.0033193614784863307,-0.058857413398563874,1.0,0.37448067711613026,-0.03079442110638469,-0.09470527893947762
ET,0.20526373261289702,0.228087826285727,0.37448067711613026,1.0,0.2511461826790294,0.30334773437083756
premium,0.37513274313741496,0.054798682222495454,-0.03079442110638469,0.2511461826790294,1.0,0.13835197572280405
mom_1w,0.171801624774736,0.07328967095399669,-0.09470527893947762,0.30334773437083756,0.13835197572280405,1.0
