,Y,D_star,OI,ET,premium,mom_1w
Y,1.0,0.0887042057302933,-0.03503496478661553,0.35670537380268524,0.3918452633768633,-0.06155388384113867
D_star,0.0887042057302933,1.0,-0.05877850548410005,0.10017360433916751,-0.009713775058559517,-0.11754122938530735
OI,-0.03503496478661553,-0.05877850548410005,1.0,-0.35554547275652454,-0.03075897252499188,-0.3275862068965517
ET,0.35670537380268524,0.10017360433916751,-0.35554547275652454,1.0,0.18568956914597956,0.13960149941818997
premium,0.3918452633768633,-0.009713775058559517,-0.03075897252499188,0.18568956914597956,1.0,-0.0034759690603537513
mom_1w,-0.06155388384113867,-0.11754122938530735,-0.3275862068965517,0.13960149941818997,-0.0034759690603537513,1.0
