lag,corr
0,0.01518081194651291
1,0.05258998600459868
2,0.010113045925007344
3,0.032888627242076314
4,0.12002066395493599
5,0.03437837480368374
6,-0.03784114751268108
7,0.030417860187229397
8,0.06953834814927692
9,-0.054347600157977294
10,-0.15073747059101153
11,-0.12915006254106964
12,-0.14962721809007332
13,-0.13846721161009928
14,-0.13469936393416734
15,-0.1150827405308032
16,-0.01635154523524373
17,-0.013883112749072316
18,-0.04410060473135425
19,-0.09444148660201776
20,-0.12380542650077962
