,Y,D_star,OI,ET,premium,mom_1w
Y,1.0,0.015180811946512843,-0.05326815632163214,0.3708324008953872,0.276184782805102,-0.07707068127088446
D_star,0.015180811946512843,1.0,-0.041641248651676406,0.053091324601479396,-0.10330811147930505,-0.12907087022479638
OI,-0.05326815632163214,-0.041641248651676406,1.0,-0.3433598694024829,-0.020217385358045126,-0.3058736514559173
ET,0.3708324008953872,0.053091324601479396,-0.3433598694024829,1.0,0.17534278569110526,0.12827565898591828
premium,0.276184782805102,-0.10330811147930505,-0.020217385358045126,0.17534278569110526,1.0,0.08413638027721922
mom_1w,-0.07707068127088446,-0.12907087022479638,-0.3058736514559173,0.12827565898591828,0.08413638027721922,1.0
