date,Y,diff,abs_diff
2025-09-16,1.514865141898197,2.9973628811675983,2.9973628811675983
2025-09-22,1.2882386303140445,2.814512779872794,2.814512779872794
2025-09-24,-0.817527787584468,-2.298326647450007,2.298326647450007
2025-09-15,-1.4824977392694014,-2.1570222831417984,2.1570222831417984
2025-10-09,-1.488714162113924,-1.9513674517908228,1.9513674517908228
2025-09-11,1.3666079079483158,1.8916126693994728,1.8916126693994728
2025-09-19,-1.5262741495587495,-1.5645618323021233,1.5645618323021233
2025-05-30,-0.0233258684416185,-1.5483645246371969,1.5483645246371969
2025-05-29,1.5250386561955784,1.5132852056848598,1.5132852056848598
2025-09-18,0.0382876827433737,-1.4867509734522046,1.4867509734522046
2025-08-29,1.5250386561955784,1.3328384801809625,1.3328384801809625
2025-07-28,-0.2571266849005027,1.243385298019396,1.243385298019396
2025-07-16,-0.3346699185459247,-1.1342863953614621,1.1342863953614621
2025-08-08,-0.2145185988317302,-1.131479084769368,1.131479084769368
2025-08-11,0.8878635792709157,1.102382178102646,1.102382178102646
