,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skew,kurt
Y,115.0,0.13418289082571225,0.8312634397489757,-1.3397141908975096,-1.3397141908975096,-1.3397141908975096,-0.6010862432026061,0.2317238492115222,0.819399392561713,1.44115189427367,1.44115189427367,1.44115189427367,-0.24900379948187107,-1.0025107053969196
D_star,115.0,1.9308226515220113e-16,1.0043763885240242,-1.1208283267321193,-1.117046756258367,-1.0506871318431463,-0.6835350679423093,-0.2847409042756467,0.406967831537447,2.1016474263544724,3.4385815755583207,3.923913658931949,1.6148121511955895,3.0473041209285814
OI,115.0,-0.0815283420487866,0.6508477263655044,-1.263018175967835,-1.2521448349635598,-1.11071734501477,-0.6331701514927242,-0.0691079746006016,0.3945545901438229,0.9405695991980136,1.235662952069605,1.3738138452432402,0.05714349651921392,-0.7796589560616605
ET,115.0,-0.016067735262360706,0.1578168899541639,-0.413227920862434,-0.39987105917553706,-0.2966606944872967,-0.11605916649711374,0.0035192836181718,0.10480444064601885,0.21158705785975027,0.285187540925093,0.3303291248835198,-0.40538332068680316,-0.21085618954635477
premium,115.0,0.04110434782608695,0.09712312983708689,-0.1467,-0.12366,-0.09992,-0.0385,0.0316,0.10165,0.19152,0.295488,0.3284,0.4575200334258261,-0.17379071543475755
mom_1w,115.0,1.286811304347826,3.676951932796941,-9.1062,-8.338353999999999,-5.37003,-0.89915,1.3646,3.754,6.65688,8.19138,10.4705,-0.46809815057903187,0.3809711903524655
M1_star,115.0,0.3018809931169403,1.2874891917419757,-1.1165055431015076,-1.1013477592653567,-0.9208165389987369,-0.4219224154588933,0.0278881223514454,0.5461288034762867,2.5232176747524955,6.025865535807442,6.316307799949835,2.604900399518743,8.539764183179424
M2_star,115.0,0.16486964316494968,1.189461523774901,-1.9417797579648348,-1.7130955260652843,-1.2107305680667573,-0.5838774901607249,-0.0677007755385607,0.5950856620190061,2.7851585077025853,4.171296262787001,4.506783752829735,1.3948846888999056,2.4015560158888265
Y_star,115.0,0.28786027604733927,1.0981325096364944,-1.1210428663263825,-1.0534364256461213,-0.8587368873745849,-0.35903594648781567,0.0476025323786465,0.5072407284344924,2.3641114014649935,4.968205828357912,5.794138695599402,2.546322964652431,8.82306703039361
