,Y,D_star,OI,ET,premium,mom_1w
Y,1.0,0.021973421627619016,-0.08139778009585427,0.08625839571221748,0.1876716549454383,-0.2006233611884236
D_star,0.021973421627619016,1.0,0.022177919778141316,0.16512956046028612,0.10346499161607889,0.1500455863099113
OI,-0.08139778009585427,0.022177919778141316,1.0,0.14785858671524743,0.06963635099432018,-0.03136718008664539
ET,0.08625839571221748,0.16512956046028612,0.14785858671524743,1.0,0.1042048133980921,0.1721255450301234
premium,0.1876716549454383,0.10346499161607889,0.06963635099432018,0.1042048133980921,1.0,0.16280275755303322
mom_1w,-0.2006233611884236,0.1500455863099113,-0.03136718008664539,0.1721255450301234,0.16280275755303322,1.0
