,Y,D_star,OI,ET,premium,mom_1w
Y,1.0,0.022474038979697433,-0.05428485870744349,0.08976969801373397,0.1976613434065233,-0.1970134694758948
D_star,0.022474038979697433,1.0,0.001751759156791771,0.12844655655070472,0.028266097476007435,0.19452811987751864
OI,-0.05428485870744349,0.001751759156791771,1.0,0.15711354848891343,0.09055470734394701,-0.029614140298271918
ET,0.08976969801373397,0.12844655655070472,0.15711354848891343,1.0,0.12707487514385,0.11855914148189063
premium,0.1976613434065233,0.028266097476007435,0.09055470734394701,0.12707487514385,1.0,0.2171245499166661
mom_1w,-0.1970134694758948,0.19452811987751864,-0.029614140298271918,0.11855914148189063,0.2171245499166661,1.0
