date,Y_roll_mean_30,Y_roll_std_30
2025-05-15,,
2025-05-16,,
2025-05-19,,
2025-05-20,,
2025-05-21,-0.22576991191186324,0.4687191355111805
2025-05-22,-0.28755280628370583,0.4457138752801535
2025-05-23,-0.2742051657549923,0.40840890302264854
2025-05-26,-0.3375429885644038,0.4184053163262043
2025-05-27,-0.25734170525759065,0.4594239275824829
2025-05-28,-0.22581882745316043,0.444471599660027
2025-05-29,-0.16306423161497585,0.470232958118486
2025-05-30,-0.12817895046935,0.46435018955809765
2025-06-03,-0.10435475532692418,0.45280390151641225
2025-06-04,-0.067998533467854,0.455811997740416
2025-06-05,-0.006210876951640568,0.5001899317276665
2025-06-06,0.007528004975768773,0.48634426761378663
2025-06-09,0.05979568021627143,0.5178706815910071
2025-06-10,0.03775180608100967,0.5110390796621695
2025-06-11,0.04442598927042657,0.4974920597177278
2025-06-12,0.05489179008086557,0.48647998961329114
2025-06-13,0.043337931404384376,0.47710896652240625
2025-06-16,0.01067524242082431,0.4901673473697656
2025-06-17,0.0330107511055232,0.4907311484254488
2025-06-18,0.06169820669253037,0.5000980260611657
2025-06-19,0.048692777356974755,0.4938682152042852
2025-06-20,0.019404659955828178,0.5064111183346891
2025-06-23,0.001874683395098666,0.5048621355698165
2025-06-24,-0.03031081638884176,0.5238806554037674
2025-06-25,0.005899998147018815,0.5501586965342099
2025-06-26,0.0035667763771463977,0.5407410232376852
2025-06-27,-0.03718630792657186,0.5678693292028807
2025-06-30,-0.056108419248010535,0.601652989584446
2025-07-01,-0.09396257365892863,0.6402696066420303
2025-07-02,-0.07712041408047288,0.6315017193851591
2025-07-03,-0.04973913031084099,0.6603266535460313
2025-07-04,-0.07451402740266069,0.694600294777435
2025-07-07,-0.04775912757832405,0.7052117146618501
2025-07-08,-0.06408403338502093,0.7280667708345475
2025-07-09,-0.10272745560895917,0.734189348746623
2025-07-10,-0.13873312836287408,0.7523040314179281
2025-07-11,-0.14898902120185006,0.7458667349802154
2025-07-14,-0.10946926279714558,0.7976524387794317
2025-07-15,-0.07282315312993613,0.8358237773018368
2025-07-16,-0.07243266962281547,0.8360572324015922
2025-07-17,-0.06749004245989809,0.8421684222398511
2025-07-18,-0.026572020447006038,0.885027486833325
2025-07-21,-0.03220468319728863,0.8794731880677251
2025-07-22,0.015558961805607981,0.9009963205621833
2025-07-23,0.019227610756696337,0.9018476106221717
2025-07-24,0.04271716029324695,0.9172126590521313
2025-07-25,0.08746724101140657,0.9380932954733507
2025-07-28,0.13258407247777407,0.9326787952069125
2025-07-29,0.1631427375479331,0.9605606066608576
2025-07-30,0.15053309112791655,0.9554473203167677
2025-07-31,0.12465406097547968,0.9773108321516374
2025-08-01,0.10874329477779136,0.9951376715411349
2025-08-04,0.07921631198733667,1.025098340221228
2025-08-05,0.06453648264259412,1.0425985191577773
2025-08-06,-0.014114083892360019,1.0569498626265226
2025-08-07,-0.055602435246493456,1.083084444260749
2025-08-08,-0.0674331244933874,1.0954519374946026
2025-08-11,-0.0674331244933874,1.0954519374946026
2025-08-12,-0.042579759469130764,1.0758576676064642
2025-08-13,-0.05767288995518296,1.0806244212376654
2025-08-14,-0.06543077865864966,1.0735476048736716
2025-08-15,-0.016562154638432174,1.0465701719517346
2025-08-18,-0.028402563384465708,1.0412501665288303
2025-08-19,0.026429874486279516,1.0165976144768214
2025-08-20,0.0320164530507533,1.0124936214670792
2025-08-21,0.07381668501882858,0.9931675964731921
2025-08-22,0.08749873100881754,0.9971695098037442
2025-08-25,0.06792101240143049,0.9752000185841267
2025-08-26,0.04821457308278851,0.9556197509931261
2025-08-27,0.009100842867778739,0.9640096137017248
2025-08-28,0.006163068054713876,0.9609929693747087
2025-08-29,-0.035156421133397106,0.9230662540857847
2025-09-01,-0.06892795508557911,0.9126918513586743
2025-09-02,-0.10936253727518473,0.8857803937089139
2025-09-03,-0.15579462104915978,0.9013307789107668
2025-09-04,-0.21367902516613063,0.8828788187722874
2025-09-05,-0.2863233302043057,0.8556377531054459
2025-09-08,-0.27829396523160543,0.8660682813254876
2025-09-09,-0.30135684462225354,0.8270341963089736
2025-09-10,-0.3111756773660412,0.8208430870365079
2025-09-11,-0.2444200790985955,0.8407363054003179
2025-09-12,-0.20637706286805071,0.822082612670262
2025-09-15,-0.19662644615601563,0.8098200208940147
2025-09-16,-0.103930909983643,0.8332805949646915
2025-09-17,-0.011588522265233192,0.8450264356642073
2025-09-18,0.05474291388938613,0.8173412419155183
2025-09-19,0.09769570337462238,0.774256145057677
2025-09-22,0.18302094118498047,0.7510867759103955
2025-09-23,0.23338341118670497,0.7536927960841423
2025-09-24,0.2631308721595796,0.7368563160711337
2025-09-25,0.2605437399208391,0.7351428287711149
2025-09-26,0.3043706520729943,0.7654346662665159
2025-09-29,0.34396520155657057,0.7929310472640265
2025-09-30,0.3675290341304851,0.8042866807977661
2025-10-09,0.4358153222258414,0.8056193191971941
2025-10-10,0.47361707785555285,0.8221493582544515
2025-10-13,0.4438853478773306,0.8346784457805986
2025-10-14,0.43512095651532473,0.8316003257364386
2025-10-15,0.44131619462027677,0.834250554006098
2025-10-16,0.49696988223275074,0.8067872674666444
2025-10-17,0.4706542572844522,0.8054223928993764
2025-10-20,0.4455097879661763,0.8256338697447498
2025-10-21,0.49517112463119967,0.8249199934685376
2025-10-22,0.5130158886277866,0.816970055728448
2025-10-23,0.5641250837959917,0.7571655369144522
2025-10-24,0.5935598287736464,0.7194100055346936
2025-10-27,0.6563544578198885,0.6523947739839838
2025-10-28,0.6051599762914556,0.690225000272477
