model,rmse_mean,mae_mean,dir_mean,n
RandomForest,0.5421496823872226,0.4038688659331701,0.7450980392156863,6
Boosting,0.601367644522875,0.43384735633211485,0.7450980392156863,6
ARIMAX,0.6399575489379908,0.5365721957953221,0.6568627450980392,6
ARIMA,1.1787828068106792,0.9400036450330872,0.5098039215686274,6
