,Y,D_star,OI,ET,premium,mom_1w
Y,1.0,0.15855324767667,-0.1201984571454603,-0.12278695837794583,0.19560304918260815,-0.07666895271286728
D_star,0.15855324767667,1.0,-0.07897674957406578,-0.346705293283127,0.1375363568491191,-0.00401756079332915
OI,-0.1201984571454603,-0.07897674957406578,1.0,0.13844925184400125,-0.03202535541168906,0.1508569649999728
ET,-0.12278695837794583,-0.346705293283127,0.13844925184400125,1.0,-0.04985470163721002,0.049906622244079046
premium,0.19560304918260815,0.1375363568491191,-0.03202535541168906,-0.04985470163721002,1.0,0.09855622693215037
mom_1w,-0.07666895271286728,-0.00401756079332915,0.1508569649999728,0.049906622244079046,0.09855622693215037,1.0
