date,Y,diff,abs_diff
2025-09-08,-13.401121511409494,-26.86804114594127,26.86804114594127
2025-09-17,-12.847588983160522,-26.711237392760378,26.711237392760378
2025-09-16,13.863648409599856,26.696036767757988,26.696036767757988
2025-10-14,-12.785084531080958,-26.648732940680816,26.648732940680816
2025-10-15,13.863648409599856,26.648732940680816,26.648732940680816
2025-07-07,13.352162169075353,26.00172785523562,26.00172785523562
2025-09-25,12.868037810793286,25.702534234656376,25.702534234656376
2025-09-10,12.817043900348969,25.62538873876329,25.62538873876329
2025-08-19,12.75234168165351,25.501202354943196,25.501202354943196
2025-10-16,0.0,-13.863648409599856,13.863648409599856
2025-10-31,13.863648409599856,13.863648409599856,13.863648409599856
2025-09-04,13.863648409599856,13.863648409599856,13.863648409599856
2025-09-29,0.0,-13.863648409599856,13.863648409599856
2025-07-24,0.0,-13.863648409599856,13.863648409599856
2025-07-16,13.77429253451408,13.77429253451408,13.77429253451408
