date,Y_true,Y_pred_OLS_base,Y_pred_OLS_enh,Y_pred_DML
2025-10-09,0.309497391600922,0.1619427181264029,-0.9436185973347863,-0.17068892011382678
2025-10-10,-0.1525491531052976,-0.43912350380652726,-1.44392487328573,-0.45077861641313743
2025-10-13,-0.6529926481619355,-0.6441767845395748,-1.800335682971249,-0.5749510331671502
2025-10-14,-0.023516764211902,-0.3235493507988888,-1.056900608748329,-0.5663655888972865
2025-10-15,0.2097371306007289,-0.04302443151060271,-0.8804252408801565,-0.5566168572662774
2025-10-16,-0.0192000717645085,-0.3240287926734157,-1.2926128150075626,-0.5959407978154871
2025-10-17,-0.3871667944891819,-0.6455711346171182,-1.1184871737705153,-0.6939313504114049
2025-10-20,-0.6094994273110461,0.431910689975576,-0.8384129186158745,-0.36895730880795813
2025-10-21,0.0831193094552176,0.6636560255284432,-0.596351916170899,-0.14002536809566254
2025-10-22,-0.3623282335166171,0.0448346236706105,-1.4625785426658373,-0.6754211595658115
2025-10-23,-0.3681020731403486,0.5159234007128197,-1.0382541172797124,-0.599604490909494
2025-10-24,-0.4588724705815336,0.1365908178147463,-1.1237160601362317,-0.48254417900928204
2025-10-27,2.3480655848035825,2.3484062502818093,1.2248758523427723,1.6362607187566516
2025-10-28,0.4782791024681844,1.3779740838544836,0.06035750442652078,1.2447935548132754
2025-10-29,5.794138695599402,3.9563484960153303,4.099788738591508,1.8428586466130719
2025-10-30,3.1136224478529275,2.5411259047393133,1.9272775089820866,1.3821056546676753
2025-10-31,5.097666914598419,3.13765996904941,3.1232599342437477,1.0493421972835115
