date,Y_true,Y_pred_OLS_base,Y_pred_OLS_enh,Y_pred_DML
2025-10-09,0.0962075859143619,-0.01719354529393553,-0.21669524869851095,-0.28384950610071974
2025-10-10,-0.1940603689277996,0.303871558096205,-0.5123101108485508,-0.5277151004184768
2025-10-13,0.8921680205776824,1.8043324780191896,0.5463243346747501,2.064830335846808
2025-10-14,0.0775123683641406,1.078233709297929,0.3546640374572768,-0.5387582278891101
2025-10-15,-0.0938054901870891,0.3267090268248945,-0.4547859123157724,-0.6304700202579696
2025-10-16,-0.8748582835465505,0.24963189658080845,-0.7453742416743013,-1.1452141209476046
2025-10-17,-0.5887513838768235,-0.053522448924000106,-0.6485086530347633,-1.1464319638879525
2025-10-20,-0.210123213913706,-0.4351672697063065,-0.58757865669067,-0.607516528784351
2025-10-21,-0.6106442227343901,-0.3293522714739857,-0.567220708127762,-0.2380207733504987
2025-10-22,-0.4291342466651978,-0.4719738982410558,-0.5266754061234956,-0.38223184942142563
2025-10-23,0.0700870996628078,-0.4127177761648119,-0.2635701783529618,-0.07326407134692191
2025-10-24,0.1654020350491697,-0.3007189383349819,-0.6047226773303035,-0.044842160126086716
2025-10-27,-0.1088367536031948,-0.42145175498189325,-0.2889223828425758,-0.24850076384353753
2025-10-28,-0.2514456211087159,-0.41307214854283963,-0.2828564250941374,-0.10740139699052
2025-10-29,0.0209936496970062,-0.4030628399936545,-0.42106911242217554,-0.27987753538984866
2025-10-30,-0.2793958614806571,-0.30249497581052537,-0.3992749428480633,-0.24993510971255672
2025-10-31,-0.2732352279606439,-0.4797127753330371,-0.5446150296625426,-0.29907910244392855
