industry,model,rmse,mae,dir_acc
动漫,OLS_baseline,0.822381650821907,0.6081117579671185,0.7058823529411765
动漫,OLS_enhanced,1.1166014439499985,1.0329387028810153,0.8235294117647058
动漫,DML_LGBM,1.4948553110645648,0.8994447182777374,0.8235294117647058
文娱,OLS_baseline,0.9944412289302691,0.8161979842040483,0.4117647058823529
文娱,OLS_enhanced,0.4087853315981025,0.2938948523442559,0.7647058823529411
文娱,DML_LGBM,0.8349380046671369,0.6769367262665887,0.6470588235294118
餐饮,OLS_baseline,0.5286431086953545,0.42531933392624366,0.5882352941176471
餐饮,OLS_enhanced,0.3182121554504671,0.2630229323728816,0.7647058823529411
餐饮,DML_LGBM,0.4324240657532543,0.33398495622889834,0.7058823529411765
汽车,OLS_baseline,1.9849109655607022,1.79637235410023,0.6470588235294118
汽车,OLS_enhanced,0.4779304831335578,0.41595643278426625,0.5882352941176471
汽车,DML_LGBM,0.49728970933176947,0.3783430563624949,0.7647058823529411
家电,OLS_baseline,2.242656733633838,2.193585080780769,0.11764705882352941
家电,OLS_enhanced,0.47872305573210916,0.32194939423425,0.8235294117647058
家电,DML_LGBM,0.47257231593201315,0.3780228272655983,0.9411764705882353
旅游,OLS_baseline,0.8457700988988374,0.7195430235964703,0.5882352941176471
旅游,OLS_enhanced,0.8364065024946286,0.8200167669930416,0.23529411764705882
旅游,DML_LGBM,0.5963203087801032,0.45586820184208515,0.7647058823529411
