date,Y_true,Y_pred_OLS_base,Y_pred_OLS_enh,Y_pred_DML
2025-10-09,0.6427896467213453,-1.1597853807915102,0.6553841387652608,1.3108687159517611
2025-10-10,-0.1992611443070524,-1.8513372850888279,0.33524764603685964,0.400601478392942
2025-10-13,0.0330201208512214,-2.53847946655706,0.16323465196443396,-0.20881126210401335
2025-10-14,-0.6183876447731584,-1.6142392742464733,0.16330642689598385,-0.3037524824271647
2025-10-15,-0.4345715739863735,-1.9834003317961812,0.04791183270389862,-0.30438620914142195
2025-10-16,0.522584712029498,-2.4949972547050296,0.3292923285637464,0.47773423391859615
2025-10-17,-0.1783832172931876,-1.7048460245206374,0.4580354549492142,-0.17112382514387717
2025-10-20,-0.1457232690084193,-3.0888667567843635,0.32102206715023895,-0.648173621904347
2025-10-21,-0.2083866731299173,-2.885966343229331,-0.06720635954081343,-0.5057498088435125
2025-10-22,-0.4738569226877029,-2.8293626527671707,-0.09832147758471273,-0.356912970615462
2025-10-23,0.004994780445496,-3.1869826018290004,-0.005610363021181996,-0.2882641382544674
2025-10-24,-0.4455495972443661,-2.355063034497554,-0.05932781612505974,-0.8649070587335753
2025-10-27,-0.4038043322000206,-1.2016961854905293,0.27584232872664854,0.532180997495382
2025-10-28,-0.7097987151195938,-1.8344121711753036,-0.024064642988509393,-0.4784560527722603
2025-10-29,0.0775418908783235,-0.3375913852289715,0.658252905653444,1.3375741083816932
2025-10-30,0.8083746365624185,-0.5529206534809622,0.4277738407684298,0.723801665246576
2025-10-31,-0.7097883489785048,-1.356588868755002,-0.11671590227818612,-0.42596686488577895
